depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
54.435859,0.00927683,75.64631,8677.790025,63760.56084,9003.241167,313.5369951,2.368539722,0.216296001,0.00927683,0.0,interval 7,interval 7,interval 7,interval 7
54.874857999999996,0.009789954,75.75539,8678.035665,63760.197,8552.9251,330.778111,2.045077539,0.245822223,0.009789954,0.0,interval 7,interval 7,interval 7,interval 7
55.313857,0.009612722,75.86441,8678.281305,63759.83315,8703.028654,325.6192638,1.561813981,0.241371993,0.009612722,0.0,interval 7,interval 7,interval 7,interval 7
55.752856,0.025908168,75.97356,8678.526945,63759.46931,8102.625251,349.9301788,1.683737626,0.267186438,0.025908168,0.0,interval 7,interval 7,interval 7,interval 7
56.191855,0.004359136,76.0827,8678.772585,63759.10547,9553.649494,292.2540511,0.809421015,0.211093547,0.004359136,0.0,interval 7,interval 7,interval 7,interval 7
56.630854,0.022925328,76.19171,8679.018225,63758.74163,9103.313606,317.053836,1.48988682,0.236424932,0.022925328,0.0,interval 7,interval 7,interval 7,interval 7
57.069852999999995,0.014162743,76.30086,8679.263865,63758.37779,8853.134009,328.6053625,0.657441394,0.290014117,0.014162743,0.0,interval 7,interval 7,interval 7,interval 7
57.508852,0.03447741,76.41001,8679.509505,63758.01394,8502.890983,323.2151023,2.057723677,0.249551226,0.03447741,0.0,interval 7,interval 7,interval 7,interval 7
57.94785,0.02360476,76.51916,8679.755145,63757.6501,8853.134009,320.3180423,1.97234785,0.254018325,0.02360476,0.0,interval 7,interval 7,interval 7,interval 7
58.386849,0.02046025,76.6283,8680.000785,63757.28626,8202.690482,350.4514282,0.47488453,0.2889899,0.02046025,0.0,interval 7,interval 7,interval 7,interval 7
58.825848,0.012594946,76.73737,8680.246425,63756.92242,9903.921953,288.8904738,0.584663507,0.227781781,0.012594946,0.0,interval 7,interval 7,interval 7,interval 7
59.264847,0.018662496,76.84645,8680.492065,63756.55858,8953.205247,323.9163414,1.73265462,0.267782753,0.018662496,0.0,interval 7,interval 7,interval 7,interval 7
59.703846,0.031730384,76.9556,8680.737705,63756.19473,9203.386846,318.0238687,1.262507249,0.211372009,0.031730384,0.0,interval 7,interval 7,interval 7,interval 7
