depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,peakID_1,peakID_2,peakID_3,peakID_4
19.107982999999997,0.022706559,67.24235,78394.33521,64980.55625,5801.345912,251.8961927,1.756156357,1000,0.545886692,0.022706559,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
19.552355000000002,0.006207518,67.35155,78394.13802,64980.15803,6951.932637,210.0868759,1.728369754,1000,0.4821537,0.006207518,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
19.996726,0.022281685,67.46069,78393.94082,64979.7598,5901.392729,245.4192717,1.378634079,1000,0.494458859,0.022281685,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
20.441098,0.021477908,67.56984,78393.74363,64979.36158,6101.488763,247.0235944,2.325592447,1000,0.516348789,0.021477908,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
20.885469999999998,0.018236296,67.67898,78393.54644,64978.96336,5951.416437,251.236663,2.731732663,1000,0.586852544,0.051509518,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
21.329842000000003,0.047318003,67.78812,78393.34925,64978.56514,4750.902672,318.9480898,1.756609227,1000,0.662843187,0.047318003,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
21.774213,0.011770739,67.89732,78393.15205,64978.16691,7302.132223,203.1206083,2.184897962,1000,0.41630631,0.011770739,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
22.218584999999997,0.014318548,68.00647,78392.95486,64977.76869,6101.488763,243.8722776,1.661130818,1000,0.501451103,0.014318548,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
22.662957000000002,0.008110039,68.11561,78392.75767,64977.37047,5451.188359,280.6868733,1.129039213,1000,0.539920458,0.008110039,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
23.107328,0.026793691,68.22476,78392.56048,64976.97224,5001.0002,315.950568,0.828899325,1000,0.619365361,0.026793691,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
23.551699999999997,0.02716727,68.33396,78392.36328,64976.57402,6401.63882,240.4454495,0.630339861,1000,0.541664995,0.02716727,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
23.996072,0.006407959,68.4431,78392.16609,64976.1758,6751.822992,221.2703797,2.378914877,1000,0.471053141,0.006407959,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
24.440443,0.014318548,68.55224,78391.9689,64975.77758,6101.488763,244.6284768,3.322294858,1000,0.471656267,0.014318548,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
