depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
29.193338,0.009649224,68.8825,83212.59222,60197.51801,8652.993936,209.9095403,2.677069121,0.254556368,0.009649224,0.0,interval 0
29.635661,0.004766642,68.99163,83213.00767,60197.66983,8753.063572,209.8495455,2.644913492,0.213864835,0.004766642,0.0,interval 0
30.077985,0.014562416,69.10078,83213.42312,60197.82165,8602.959418,210.5132417,0.673348337,0.258130367,0.014562416,0.0,interval 0
30.520308,0.01990354,69.20993,83213.83858,60197.97348,8402.823349,215.7922511,3.451251798,0.227385414,0.01990354,0.0,interval 0
30.962631000000002,0.025195431,69.31913,83214.25403,60198.1253,8302.756515,217.0463284,0.698998023,0.215615903,0.025195431,0.0,interval 0
31.404954,0.00468228,69.42827,83214.66948,60198.27712,8903.169528,199.2312694,1.732054374,0.219807848,0.00468228,0.0,interval 0
31.847278,0.004975825,69.53743,83215.08493,60198.42894,8402.823349,219.3524752,1.38047587,0.217047542,0.004975825,0.0,interval 0
32.289601000000005,0.0,69.64658,83215.50038,60198.58077,8853.134009,196.4946006,0.871159702,0.191755364,0.0,0.0,interval 0
32.731924,0.005648631,69.75568,83215.91583,60198.73259,7452.220762,243.5130647,1.567136862,0.241701401,0.005648631,0.0,interval 0
33.174248000000006,0.015926002,69.86489,83216.33128,60198.88441,7902.497189,230.8123274,1.718277886,0.242593704,0.015926002,0.0,interval 0
33.616571,0.01851093,69.97403,83216.74673,60199.03624,9003.241167,202.0246695,1.925841763,0.223013439,0.01851093,0.0,interval 0
34.058894,0.0,70.08317,83217.16218,60199.18806,7202.074197,258.2424654,1.083298773,0.277389918,0.0,0.003306801,interval 0
34.501218,0.025036482,70.19233,83217.57764,60199.33988,8352.789832,212.4671931,2.083789821,0.235061874,0.025036482,0.001413501,interval 0
34.943541,0.00590057,70.30133,83217.99309,60199.49171,7152.045485,259.2042789,2.728411543,0.245126387,0.00590057,0.0,interval 0
35.385864000000005,0.016033235,70.41054,83218.40854,60199.64353,7852.465674,231.3024572,1.729847425,0.255330928,0.016033235,0.0,interval 0
35.828187,0.014927595,70.51968,83218.82399,60199.79535,8402.823349,214.765084,1.38047587,0.245994104,0.014927595,0.001404639,interval 0
36.270511,0.034614607,70.62884,83219.23944,60199.94718,8452.857066,219.4091892,0.685933556,0.252680748,0.034614607,0.0,interval 0
36.712834,0.010984625,70.73795,83219.65489,60200.099,7652.341617,238.6763807,2.539624113,0.301197498,0.010984625,0.001550434,interval 0
37.155157,0.004396934,70.8471,83220.07034,60200.25082,9453.573451,196.7216018,1.219870252,0.175353246,0.004396934,0.0,interval 0
37.597481,0.029724277,70.95624,83220.48579,60200.40265,7102.016973,252.9061003,1.374408814,0.313658914,0.029724277,0.0,interval 0
38.039804000000004,0.016477004,71.06538,83220.90124,60200.55447,7652.341617,246.2964105,1.269799358,0.269244768,0.016477004,0.0,interval 0
38.482127,0.024879524,71.1746,83221.3167,60200.70629,8402.823349,218.0308245,0.920313565,0.22325024,0.024879524,0.0,interval 0
38.924451,0.019779538,71.28372,83221.73215,60200.85812,8452.857066,219.0441956,2.057825361,0.322549398,0.019779538,0.0,interval 0
39.366774,0.013489855,71.3929,83222.1476,60201.00994,9253.423767,194.610535,2.287136153,0.199879618,0.013489855,0.0,interval 0
39.809097,0.013644466,71.50211,83222.56305,60201.16176,9153.350126,196.4721924,2.523659284,0.251309112,0.013644466,0.0,interval 0
40.25142,0.013338707,71.61126,83222.9785,60201.31359,9353.498208,191.0862401,1.850318803,0.206877641,0.013338707,0.0,interval 0
40.693743999999995,0.005039006,71.72033,83223.39395,60201.46541,8302.756515,217.6777936,1.165001365,0.230272636,0.005039006,0.0,interval 0
41.136067,0.025356412,71.82944,83223.8094,60201.61723,8252.723399,223.4821527,1.641429381,0.238065626,0.025356412,0.0,interval 0
41.57839,0.012766522,71.93856,83224.22485,60201.76905,9753.803984,185.7444609,0.787079474,0.203308186,0.012766522,0.0,interval 0
42.020714,0.009309674,72.04763,83224.6403,60201.92088,8953.205247,205.7165873,0.430468818,0.24173001,0.009309674,0.0,interval 0
42.463037,0.0,72.15674,83225.05576,60202.0727,9303.460887,197.1089304,1.860743226,0.230339027,0.0,0.0,interval 0
42.905359999999995,0.00988969,72.26594,83225.47121,60202.22452,8452.857066,213.973883,1.600524434,0.232132954,0.00988969,0.0,interval 0
43.347684,0.023138755,72.37509,83225.88666,60202.37635,9003.241167,204.6195574,1.711855921,0.246089702,0.023138755,0.0,interval 0
43.790006999999996,0.005380598,72.48423,83226.30211,60202.52817,7802.43436,231.7994629,1.990374006,0.297308235,0.005380598,0.0,interval 0
44.23233,0.010725988,72.59337,83226.71756,60202.67999,7502.250675,241.6270214,1.037371461,0.260968537,0.039261967,0.0,interval 0
44.674653,0.016033235,72.70253,83227.13301,60202.83182,7852.465674,227.4819537,2.224098442,0.224240882,0.016033235,0.0,interval 0
45.116977000000006,0.010834684,72.81173,83227.54846,60202.98364,7752.403245,234.1003275,1.502962827,0.297086134,0.010834684,0.0,interval 0
45.5593,0.020156265,72.92087,83227.96391,60203.13546,8302.756515,214.8183309,1.165001365,0.234460349,0.020156265,0.0,interval 0
46.001622999999995,0.0048541,73.03002,83228.37936,60203.28729,8602.959418,204.6116821,1.571158688,0.213754803,0.0048541,0.0,interval 0
46.443947,0.010617292,73.13916,83228.79482,60203.43911,7902.497189,232.1043672,2.454697423,0.247005487,0.010617292,0.0,interval 0
46.88627,0.010617292,73.24818,83229.21027,60203.59093,7902.497189,228.1510441,1.472806671,0.242593704,0.010617292,0.0,interval 0
47.328593000000005,0.0,73.35733,83229.62572,60203.74276,7202.074197,247.7502295,1.895784228,0.29929451,0.0,0.0,interval 0
47.770917000000004,0.01040845,73.46649,83230.04117,60203.89458,8052.592935,220.3275204,2.165767753,0.248634448,0.01040845,0.0,interval 0
48.21324,0.028600426,73.57564,83230.45662,60204.0464,8753.063572,208.2319379,1.322440876,0.243575593,0.028600426,0.0,interval 0
48.655563,0.016141922,73.6848,83230.87207,60204.19823,7802.43436,224.9430374,0.746382788,0.283892426,0.016141922,0.0,interval 0
49.097886,0.005204204,73.79385,83231.28752,60204.35005,8052.592935,218.6413626,0.96255382,0.283236133,0.005204204,0.0,interval 0
49.54021,0.014046951,73.90299,83231.70297,60204.50187,8903.169528,208.1398608,1.299035584,0.210079736,0.014046951,0.0,interval 0
49.982533000000004,0.031640766,74.01215,83232.11842,60204.65369,7952.528904,222.5949518,2.194545678,0.271660006,0.031640766,0.0,interval 0
50.424856,0.010477145,74.12123,83232.53388,60204.80552,8002.560819,219.8144249,2.906766478,0.26333644,0.010477145,0.0,interval 0
50.86718,0.014386443,74.23038,83232.94933,60204.95734,8703.028654,212.9578551,1.108690393,0.264975134,0.014386443,0.0,interval 0
51.309503,0.0,74.33949,83233.36478,60205.10916,8152.657766,219.1784344,1.425147842,0.234743569,0.0,0.0,interval 0
51.751826,0.010340649,74.44852,83233.78023,60205.26099,8102.625251,225.2558488,2.390737998,0.231975904,0.010340649,0.0,interval 0
52.19415,0.01541065,74.55766,83234.19568,60205.41281,8152.657766,219.2919754,3.087863556,0.253954433,0.01541065,0.0,interval 0
52.636473,0.01990354,74.66677,83234.61113,60205.56463,8402.823349,213.8481698,1.840641856,0.2191151,0.01990354,0.0,interval 0
53.078796,0.024724522,74.77596,83235.02658,60205.71646,8452.857066,214.5936831,1.143227166,0.246516323,0.024724522,0.0,interval 0
53.521119999999996,0.023691308,74.88512,83235.44203,60205.86828,8803.098691,201.5751742,1.314545991,0.218494611,0.023691308,0.0,interval 0
53.963443,0.026543549,74.99426,83235.85748,60206.0201,7902.497189,232.5742866,1.472806671,0.238181956,0.026543549,0.0,interval 0
54.405766,0.015311555,75.10341,83236.27294,60206.17193,8202.690482,224.8815539,0.471990796,0.273530383,0.015311555,0.0,interval 0
54.848089,0.013883142,75.21256,83236.68839,60206.32375,9003.241167,204.0389815,0.855921113,0.244166638,0.013883142,0.0,interval 0
55.290412999999994,0.00995169,75.32177,83237.10384,60206.47557,8402.823349,211.9049327,1.840641856,0.225317823,0.00995169,0.0,interval 0
55.732735999999996,0.01040845,75.43093,83237.51929,60206.6274,8052.592935,228.2298962,1.443836506,0.298375066,0.01040845,0.0,interval 0
56.175059,0.01895297,75.54007,83237.93474,60206.77922,8803.098691,202.831921,2.190927513,0.192900136,0.01895297,0.0,interval 0
56.617383000000004,0.029485844,75.64922,83238.35019,60206.93104,8502.890983,213.5186682,0.908917219,0.257242588,0.029485844,0.0,interval 0
57.059706,0.021392417,75.75824,83238.76564,60207.08287,9703.765061,186.2725033,0.593490808,0.213293504,0.021392417,0.0,interval 0
57.502029,0.017315699,75.86738,83239.18109,60207.23469,7302.132223,244.784887,2.668893311,0.304535957,0.017315699,0.0,interval 0
57.944353,0.009649224,75.97653,83239.59654,60207.38651,8652.993936,214.1099169,1.784698469,0.254556368,0.009649224,0.0,interval 0
58.386676,0.01895297,76.08569,83240.012,60207.53834,8803.098691,208.4918727,5.696593829,0.212588076,0.01895297,0.0,interval 0
58.828999,0.015213725,76.19484,83240.42745,60207.69016,8252.723399,221.985553,0.937954019,0.280212346,0.015213725,0.0,interval 0
59.271322,0.02275674,76.30389,83240.8429,60207.84198,7402.191049,241.6531613,0.789179763,0.269437454,0.02275674,0.0,interval 0
59.713646000000004,0.008793903,76.41306,83241.25835,60207.9938,9453.573451,190.0384617,1.01655651,0.217374962,0.008793903,0.0,interval 0
60.155969,0.025851932,76.5222,83241.6738,60208.14563,8102.625251,224.6839167,0.956283724,0.281391127,0.025851932,0.0,interval 0
60.598292,0.009309674,76.63127,83242.08925,60208.29745,8953.205247,204.0336104,2.15237853,0.230124207,0.009309674,0.0,interval 0
61.040616,0.0,76.74045,83242.5047,60208.44927,8002.560819,237.0074199,1.453365798,0.245921831,0.0,0.0,interval 0
61.482939,0.009364597,76.84961,83242.92015,60208.6011,8903.169528,204.7537576,1.948565068,0.278180609,0.009364597,0.0,interval 0
61.925262000000004,0.0,76.95882,83243.3356,60208.75292,7702.372331,238.3235055,3.531069081,0.26059481,0.0,0.0,interval 0
62.367586,0.011061162,77.06798,83243.75106,60208.90474,7602.311103,243.3990632,2.301582797,0.275717143,0.011061162,0.0,interval 0
62.809909,0.004914209,77.17711,83244.16651,60209.05657,8502.890983,219.3567899,1.136148797,0.216401773,0.004914209,0.0,interval 0
63.25223200000001,0.015612737,77.28624,83244.58196,60209.20839,8052.592935,225.005957,1.684479292,0.211872585,0.015612737,0.0,interval 0
63.694555,0.0,77.3954,83244.99741,60209.36021,8102.625251,225.2939802,2.390737998,0.23842111,0.0,0.0,interval 0
64.136879,0.027087036,77.50455,83245.41286,60209.51204,7752.403245,238.4154545,1.00197121,0.274574115,0.027087036,0.0,interval 0
64.57920200000001,0.0089932,77.61375,83245.82831,60209.66386,9253.423767,196.1026429,2.079210526,0.250330051,0.0089932,0.0,interval 0
65.021525,0.013046346,77.7229,83246.24376,60209.81568,9553.649494,186.2249561,1.005415916,0.224028265,0.013046346,0.0,interval 0
65.46384900000001,0.021985021,77.8321,83246.65921,60209.96751,9453.573451,189.5522661,2.643089215,0.233819295,0.021985021,0.0,interval 0
65.906172,0.014834594,77.94126,83247.07466,60210.11933,8452.857066,214.9583117,2.057825361,0.256790405,0.014834594,0.0,interval 0
66.348495,0.008510981,78.05033,83247.49012,60210.27115,9753.803984,188.0678099,1.967722299,0.196235027,0.008510981,0.0,interval 0
66.790819,0.008376236,78.15949,83247.90557,60210.42298,9903.921953,186.2650654,1.936569562,0.243599322,0.008376236,0.0,interval 0
67.233142,0.004574333,78.26868,83248.32102,60210.5748,9103.313606,201.6869783,0.846054718,0.21474032,0.004574333,0.0,interval 0
67.675465,0.004710067,78.37791,83248.73647,60210.72662,8853.134009,205.6214623,2.17792539,0.225026702,0.004710067,0.0,interval 0
68.117788,0.009590924,78.48707,83249.15192,60210.87844,8703.028654,207.1208675,1.330431132,0.237076374,0.009590924,0.0,interval 0
68.560112,0.009420171,78.5962,83249.56737,60211.03027,8853.134009,207.115559,1.524538625,0.197626612,0.009420171,0.0,interval 0
69.002435,0.025036482,78.70528,83249.98282,60211.18209,8352.789832,218.3352214,2.315326654,0.295404625,0.025036482,0.0,interval 0
69.444758,0.009201737,78.81437,83250.39827,60211.33391,9053.277286,200.1748905,1.489187758,0.225544299,0.009201737,0.0,interval 0
69.887082,0.009310954,78.92339,83250.81373,60211.48574,7902.497189,233.4750946,1.227336438,0.284507067,0.026543549,0.0,interval 0
70.329405,0.00865013,79.03254,83251.22918,60211.63756,9603.687816,189.0364753,0.399972262,0.206632146,0.00865013,0.0,interval 0
70.77172800000001,0.013489855,79.14169,83251.64463,60211.78938,9253.423767,195.240469,1.871285731,0.246592795,0.013489855,0.0,interval 0
71.214052,0.005071201,79.25071,83252.06008,60211.94121,8252.723399,219.8911377,1.875923045,0.238065626,0.005071201,0.0,interval 0
71.656375,0.005238552,79.35986,83252.47553,60212.09303,8002.560819,228.2292231,2.422295709,0.261159584,0.005238552,0.0,interval 0
72.098698,0.009533323,79.46901,83252.89098,60212.24485,8753.063572,209.075831,1.542850775,0.239614055,0.009533323,0.0,interval 0
72.541021,0.013802661,79.57816,83253.30643,60212.39668,9053.277286,203.059877,1.701932271,0.258046745,0.013802661,0.0,interval 0
72.983345,0.009255391,79.68729,83253.72188,60212.5485,9003.241167,202.4684173,1.497870935,0.267243917,0.009255391,0.0,interval 0
73.425668,0.019416632,79.79636,83254.13733,60212.70032,8602.959418,213.6281884,0.673348337,0.213754803,0.019416632,0.0,interval 0
73.86799099999999,0.013646258000000001,79.90543,83254.55279,60212.85215,7602.311103,236.9147992,1.27864688,0.294102993,0.033184018,0.0,interval 0
74.310315,0.009044444,80.01458,83254.96824,60213.00397,9203.386846,194.8193276,1.045518489,0.247997884,0.009044444,0.0,interval 0
74.75263799999999,0.018403622,80.1238,83255.38369,60213.15579,9053.277286,200.0731041,1.276444097,0.214073376,0.018403622,0.0,interval 0
75.194961,0.016155783,80.23288,83255.79914,60213.30762,10254.20422,174.4745474,1.120537777,0.184569649,0.016155783,0.0,interval 0
75.63728499999999,0.014046951,80.34197,83256.21459,60213.45944,8903.169528,201.6119543,2.165076628,0.221753494,0.014046951,0.0,interval 0
76.07960800000001,0.031431939,80.45104,83256.63004,60213.61126,8002.560819,226.9544575,1.453365798,0.228507779,0.031431939,0.0,interval 0
76.521931,0.0,80.56016,83257.04549,60213.76309,8703.028654,211.3651661,1.995658673,0.231098272,0.0,0.0,interval 0
76.964254,0.009420171,80.6693,83257.46094,60213.91491,8853.134009,206.9765511,1.30674478,0.20936932,0.009420171,0.0,interval 0
77.40657800000001,0.037022452,80.77831,83257.87639,60214.06673,9003.241167,201.8881413,1.283886805,0.213398656,0.037022452,0.0,interval 0
77.848901,0.00460085,80.88744,83258.29185,60214.21855,9053.277286,204.28236,1.489187758,0.206426246,0.00460085,0.0,interval 0
78.291224,0.022594796,80.99659,83258.7073,60214.37038,7452.220762,244.7623483,1.305944773,0.298034482,0.022594796,0.0,interval 0
78.733548,0.004795443,81.10574,83259.12275,60214.5222,8703.028654,216.7472774,0.665211575,0.211171783,0.004795443,0.0,interval 0
79.175871,0.024123351,81.21489,83259.5382,60214.67402,8652.993936,208.0242527,3.123259801,0.212455445,0.024123351,0.0,interval 0
79.618194,0.014927595,81.32409,83259.95365,60214.82585,8402.823349,219.6095081,0.460154942,0.23152062,0.014927595,0.0,interval 0
80.060518,0.009708238,81.43324,83260.3691,60214.97767,8602.959418,211.7303127,2.244525879,0.244010445,0.009708238,0.0,interval 0
80.502841,0.031299496,81.54237,83260.78455,60215.12949,9303.460887,193.0856094,2.687761717,0.193179842,0.031299496,0.0,interval 0
80.945164,0.009533323,81.65151,83261.2,60215.28132,8753.063572,212.2771014,1.322440876,0.239614055,0.009533323,0.0,interval 0
81.38748799999999,0.027087036,81.76065,83261.61545,60215.43314,7752.403245,236.1775043,1.00197121,0.272322963,0.027087036,0.0,interval 0
81.829811,0.025684621,81.86985,83262.03091,60215.58496,8152.657766,219.4433676,2.13773459,0.18778659,0.025684621,0.0,interval 0
82.272134,0.004795443,81.979,83262.44636,60215.73679,8703.028654,208.429081,1.995658673,0.211171783,0.004795443,0.0,interval 0
82.71445700000001,0.010617292,82.08815,83262.86181,60215.88861,7902.497189,236.5704688,1.472806671,0.258035098,0.010617292,0.0,interval 0
83.156781,0.027289259,82.19732,83263.27726,60216.04043,9153.350126,200.3633805,2.733969692,0.24941907,0.027289259,0.0,interval 0
83.599104,0.009364597,82.30635,83263.69271,60216.19226,8903.169528,202.3712963,1.948565068,0.24121038,0.009364597,0.0,interval 0
84.041427,0.015612737,82.41551,83264.10816,60216.34408,8052.592935,230.5340698,1.203194682,0.270260242,0.015612737,0.0,interval 0
