depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
24.147412,0.024130168,68.11668,8647.41536,41151.12746,5601.254681,463.2931859,1.484239038,1000,0.355662187,0.024130168,0.0,interval 0
24.586456,0.021711028,68.22575,8647.813661,41150.94276,6151.513272,400.7356542,3.004766747,1000,0.365142772,0.021711028,0.002059193,interval 0
25.025499999999997,0.037202542,68.33491,8648.211962,41150.75805,6001.440346,432.0247664,2.402727713,1000,0.358532188,0.037202542,0.002117079,interval 0
25.464544,0.024377089,68.44415,8648.610263,41150.57335,5551.232374,455.2763108,3.373744744,1000,0.373123177,0.024377089,0.0,interval 0
25.903586999999998,0.038396314,68.5533,8649.008564,41150.38864,4800.921777,536.2132874,3.099796815,1000,0.419007379,0.038396314,0.0,interval 0
26.342630999999997,0.032173685,68.66247,8649.406866,41150.20394,5601.254681,460.9721389,1.855302509,1000,0.328299617,0.032173685,0.0,interval 0
26.781675,0.021514937,68.77158,8649.805167,41150.01923,6201.537981,406.7598913,2.977628066,1000,0.32524794,0.021514937,0.0,interval 0
27.220719000000003,0.051600464,68.8807,8650.203468,41149.83453,6051.464454,422.635892,2.380422462,1000,0.342665163,0.051600464,0.0,interval 0
27.659763,0.068619608,68.98986,8650.601769,41149.64982,6451.664529,392.9776948,2.215855798,1000,0.315084984,0.068619608,0.001952424,interval 0
28.098807,0.016944903,69.099,8651.00007,41149.46512,5351.145145,480.7442405,3.126864559,1000,0.384243532,0.016944903,0.002410731,interval 0
28.537851,0.045781994,69.20815,8651.398371,41149.28042,5001.0002,535.7696315,1.689608124,1000,0.410065461,0.045781994,0.0,interval 0
28.976893999999998,0.047776967,69.31737,8651.796672,41149.09571,5651.277189,459.9242468,2.204042075,1000,0.374669691,0.047776967,0.0,interval 0
29.415938,0.015311247,69.42656,8652.194973,41148.91101,5851.36922,441.8806219,1.765866879,1000,0.434015693,0.015311247,0.0,interval 0
29.854982,0.033182008,69.53569,8652.593274,41148.7263,5451.188359,478.4778541,2.678837438,1000,0.376215489,0.033182008,0.0,interval 0
30.294026000000002,0.032352029,69.64478,8652.991576,41148.5416,6801.850103,381.2522874,2.089457163,1000,0.300780299,0.032352029,0.0,interval 0
30.73307,0.020947351,69.754,8653.389877,41148.35689,6351.61331,397.3155877,1.932705185,1000,0.257284676,0.020947351,0.0,interval 0
31.172114,0.051943943,69.86311,8653.788178,41148.17219,5251.102732,490.6023494,4.393210313,1000,0.451525676,0.051943943,0.002463295,interval 0
31.611158,0.080551342,69.97235,8654.186479,41147.98748,5101.040612,501.8875246,4.128856933,1000,0.431269617,0.080551342,0.0,interval 0
32.050201,0.01349032,70.08147,8654.58478,41147.80278,6551.71655,373.879593,3.111744836,1000,0.286785148,0.01349032,0.0,interval 0
32.489245,0.053101768,70.19061,8654.983081,41147.61808,5151.061119,516.6782314,2.041400256,1000,0.406391064,0.053101768,0.0,interval 0
32.928289,0.066826555,70.29978,8655.381382,41147.43337,4600.846556,570.4815031,2.791954125,1000,0.417419795,0.706260572,0.0,interval 0
33.367333,0.032617834,70.4089,8655.779683,41147.24867,6751.822992,363.2103432,2.708527652,1000,0.336541279,0.032617834,0.003712364,interval 0
33.806377,0.098577085,70.51805,8656.177984,41147.06396,5901.392729,429.7010537,3.49804374,1000,0.373978236,0.098577085,0.004315033,interval 0
34.245421,0.132644409,70.62719,8656.576286,41146.87926,6951.932637,362.7811291,1.74822025,1000,0.239887511,0.132644409,0.001797117,interval 0
34.684464999999996,0.197306896,70.73641,8656.974587,41146.69455,6501.69044,385.032616,1.569187163,1000,0.370245661,0.197306896,0.001935696,interval 0
35.123508,0.255967755,70.84552,8657.372888,41146.50985,7802.43436,323.7584391,2.309959421,1000,0.246009192,0.255967755,0.006332181,interval 0
35.562552,0.482002673,70.95474,8657.771189,41146.32514,7752.403245,328.2909088,2.584739457,1000,0.273159428,0.482002673,0.01753663,interval 0
36.001596,0.627500122,71.06382,8658.16949,41146.14044,7502.250675,334.1959039,1.071697907,1000,0.276564302,0.627500122,0.019830625,interval 0
36.44064,0.745518069,71.17297,8658.567791,41145.95574,8552.9251,294.4979198,1.393484863,1000,0.254008391,0.745518069,0.020054961,interval 0
36.879684000000005,0.678301361,71.28211,8658.966092,41145.77103,9803.843106,253.4296793,1.603727053,1000,0.211856419,0.678301361,0.013601023,interval 0
37.318728,0.656702902,71.39122,8659.364393,41145.58633,12406.15345,192.1177431,1.560433489,1000,0.159155525,0.656702902,0.013474498,interval 0
37.757772,0.93248044,71.50027,8659.762694,41145.40162,12005.76277,202.323217,2.423296531,1000,0.136976559,0.93248044,0.030890626,interval 0
38.196815,1.024137392,71.60936,8660.160996,41145.21692,12856.6083,195.0041703,0.901666084,1000,0.158817143,1.024137392,0.02780817,interval 0
38.635859,1.097980986,71.7185,8660.559297,41145.03221,14358.24163,173.6928207,1.070407932,1000,0.124958829,1.097980986,0.012379198,interval 0
39.074903,1.207839121,71.82765,8660.957598,41144.84751,13607.40243,182.8062216,1.415625879,1000,0.137426496,1.207839121,0.027068504,interval 0
