depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
20.060043999999998,0.044471101,67.13461,30960.10384,80691.92652,5851.36922,220.039471,2.377762128,1000,0.305074607,0.044471101,0.0,interval 7,interval 7,interval 7,interval 7
20.505823,0.023096226,67.24375,30960.46743,80691.66859,5651.277189,225.8619152,2.822666433,1000,0.323930211,0.023096226,0.0,interval 7,interval 7,interval 7,interval 7
20.951602,0.027019231,67.35286,30960.83101,80691.41067,4900.960588,270.7745982,2.476572553,1000,0.325395389,0.027019231,0.0,interval 7,interval 7,interval 7,interval 7
21.397381,0.00769868,67.462,30961.19459,80691.15274,5651.277189,227.7500046,2.116991356,1000,0.338016838,0.00769868,0.0,interval 7,interval 7,interval 7,interval 7
21.843159,0.017420956,67.57104,30961.55817,80690.89481,5051.020306,254.70566,1.996001852,1000,0.370485669,0.017420956,0.0,interval 7,interval 7,interval 7,interval 7
22.288938,0.007210124,67.68015,30961.92176,80690.63688,6001.440346,221.5753726,1.982647643,1000,0.319864585,0.007210124,0.0,interval 7,interval 7,interval 7,interval 7
22.734717,0.021828437,67.78917,30962.28534,80690.37896,5951.416437,218.9460941,2.667725794,1000,0.312805836,0.021828437,0.0,interval 7,interval 7,interval 7,interval 7
23.180495999999998,0.012206909,67.89832,30962.64892,80690.12103,7001.960549,182.6431966,3.076964857,1000,0.270768025,0.012206909,0.0,interval 7,interval 7,interval 7,interval 7
23.626275,0.015547923,68.00746,30963.01251,80689.8631,5601.254681,225.9592733,3.919126027,1000,0.348433001,0.015547923,0.0,interval 7,interval 7,interval 7,interval 7
24.072053,0.00769868,68.11661,30963.37609,80689.60518,5651.277189,225.9293395,2.469828189,1000,0.28871463,0.00769868,0.0,interval 7,interval 7,interval 7,interval 7
24.517832,0.030499857,68.22575,30963.73967,80689.34725,5701.299896,227.5705847,2.09669566,1000,0.338264184,0.030499857,0.0,interval 7,interval 7,interval 7,interval 7
24.963611,0.039998023,68.33494,30964.10325,80689.08932,6451.664529,202.69749,0.611021735,1000,0.307932213,0.039998023,0.0,interval 7,interval 7,interval 7,interval 7
25.409390000000002,0.032035473,68.44408,30964.46684,80688.8314,5451.188359,239.5897758,1.835213582,1000,0.285690442,0.032035473,0.0,interval 7,interval 7,interval 7,interval 7
25.855168000000003,0.049041236,68.55322,30964.83042,80688.57347,5351.145145,240.2894974,3.371305717,1000,0.403725768,0.049041236,0.0,interval 7,interval 7,interval 7,interval 7
26.300947,0.031096095,68.66237,30965.194,80688.31554,5601.254681,232.0193365,2.850256372,1000,0.419558562,0.031096095,0.0,interval 7,interval 7,interval 7,interval 7
