File,Interval,peakID,total_growth,total_growth_centered,total_time_days,growth_rate,growth_rate_centered,start_date,end_date
B325_int_peakid.csv_peakID_3,interval 7,peakID_3,578.9188650000001,578.9188650000001,46.313101851851854,12.500109944090296,12.500109944090296,2022-09-09 02:29:08,2022-10-25 10:00:00
B325_int_peakid.csv_peakID_3,interval 6,peakID_3,1290.974776,1290.974776,27.995034722222222,46.11441953223352,46.11441953223352,2022-08-12 01:33:39,2022-09-09 01:26:30
B325_int_peakid.csv_peakID_3,interval 4,peakID_3,1726.4507089999997,1726.4507089999997,26.190011574074074,65.92019648853618,65.92019648853618,2022-06-28 01:16:50,2022-07-24 05:50:27
B325_int_peakid.csv_peakID_3,interval 3,peakID_3,1260.0677669999995,1260.0677669999995,26.903125,46.837226790567996,46.837226790567996,2022-06-01 03:13:33,2022-06-28 00:54:03
B325_int_peakid.csv_peakID_3,interval 2,peakID_3,637.0617190000003,637.0617190000003,20.149363425925927,31.61696503921812,31.61696503921812,2022-05-11 23:04:50,2022-06-01 02:39:55
B325_int_peakid.csv_peakID_3,interval 1,peakID_3,556.2380480000002,556.2380480000002,16.921064814814816,32.87252038140058,32.87252038140058,2022-04-25 00:19:20,2022-05-11 22:25:40
B325_int_peakid.csv_peakID_3,interval 0,peakID_3,3698.8615849999996,3698.8615849999996,82.57359953703704,44.79472380686197,44.79472380686197,2022-02-01 10:00:00,2022-04-24 23:45:59
B325_int_peakid.csv_peakID_4,interval 7,peakID_4,578.9188650000001,578.9188650000001,46.313101851851854,12.500109944090296,12.500109944090296,2022-09-09 02:29:08,2022-10-25 10:00:00
B325_int_peakid.csv_peakID_4,interval 6,peakID_4,1290.974776,1290.974776,27.995034722222222,46.11441953223352,46.11441953223352,2022-08-12 01:33:39,2022-09-09 01:26:30
B325_int_peakid.csv_peakID_4,interval 4,peakID_4,1726.4507089999997,1726.4507089999997,26.190011574074074,65.92019648853618,65.92019648853618,2022-06-28 01:16:50,2022-07-24 05:50:27
B325_int_peakid.csv_peakID_4,interval 3,peakID_4,1260.0677669999995,1260.0677669999995,26.903125,46.837226790567996,46.837226790567996,2022-06-01 03:13:33,2022-06-28 00:54:03
B325_int_peakid.csv_peakID_4,interval 2,peakID_4,637.0617190000003,637.0617190000003,20.149363425925927,31.61696503921812,31.61696503921812,2022-05-11 23:04:50,2022-06-01 02:39:55
B325_int_peakid.csv_peakID_4,interval 1,peakID_4,46.35317099999975,46.35317099999975,16.63113425925926,2.7871322711614193,2.7871322711614193,2022-04-25 03:48:05,2022-05-11 18:56:55
B325_int_peakid.csv_peakID_4,interval 0,peakID_4,3363.8273790000003,3363.8273790000003,82.57262731481481,40.737802446022904,40.737802446022904,2022-02-01 10:00:00,2022-04-24 23:44:35
G652_sub_peakid.csv_peakID_1,interval 7,peakID_1,914.713074,914.713074,46.31767361111111,19.748683443819818,19.748683443819818,2022-09-09 02:22:33,2022-10-25 10:00:00
G652_sub_peakid.csv_peakID_1,interval 6,peakID_1,155.3779280000001,155.3779280000001,27.84,5.581103735632188,5.581103735632188,2022-08-12 03:45:12,2022-09-08 23:54:48
G652_sub_peakid.csv_peakID_1,interval 4,peakID_1,1990.668075,1990.668075,26.18133101851852,76.03387595504465,76.03387595504465,2022-06-28 01:30:48,2022-07-24 05:51:55
G652_sub_peakid.csv_peakID_1,interval 3,peakID_1,697.6981909999995,697.6981909999995,26.877627314814816,25.958325220747135,25.958325220747135,2022-06-01 03:54:26,2022-06-28 00:58:13
G652_sub_peakid.csv_peakID_1,interval 2,peakID_1,4223.765847999999,4223.765847999999,20.179837962962964,209.3062320793696,209.3062320793696,2022-05-11 23:08:00,2022-06-01 03:26:58
G652_sub_peakid.csv_peakID_1,interval 1,peakID_1,2697.3011399999996,2697.3011399999996,16.95627314814815,159.07393779479077,159.07393779479077,2022-04-25 00:04:00,2022-05-11 23:01:02
G652_sub_peakid.csv_peakID_1,interval 0,peakID_1,6183.192439999999,6183.192439999999,82.57760416666666,74.87735327753565,74.87735327753565,2022-02-01 10:00:00,2022-04-24 23:51:45
G652_sub_peakid.csv_peakID_1,interval 5,peakID_1,855.8246140000001,855.8246140000001,18.807488425925925,45.50446049033612,45.50446049033612,2022-07-24 06:13:31,2022-08-12 01:36:18
G652_sub_peakid.csv_peakID_2,interval 7,peakID_2,1465.679635,1465.679635,46.32616898148148,31.638265525169885,31.638265525169885,2022-09-09 02:10:19,2022-10-25 10:00:00
G652_sub_peakid.csv_peakID_2,interval 6,peakID_2,1460.391874,1460.391874,27.98326388888889,52.18804639082388,52.18804639082388,2022-08-12 02:01:47,2022-09-09 01:37:41
G652_sub_peakid.csv_peakID_2,interval 4,peakID_2,931.2959819999996,931.2959819999996,26.168240740740742,35.58878838003374,35.58878838003374,2022-06-28 01:40:13,2022-07-24 05:42:29
G652_sub_peakid.csv_peakID_2,interval 3,peakID_2,697.6981909999995,697.6981909999995,26.877627314814816,25.958325220747135,25.958325220747135,2022-06-01 03:54:26,2022-06-28 00:58:13
G652_sub_peakid.csv_peakID_2,interval 2,peakID_2,4223.765847999999,4223.765847999999,20.179837962962964,209.3062320793696,209.3062320793696,2022-05-11 23:08:00,2022-06-01 03:26:58
