time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
2455.93151,9.458674896,14275.61827,35694.12943,423711.5771,21.8939399,1.744457601,0.015850847,2.428043754,0.007630196
2456.04065,9.45910836,14275.99933,35693.92284,470179.5138,19.50369409,1.681950531,0.01443648,2.388827786,0.007130773
2456.14987,9.459541824,14276.3804,35693.71624,414769.0306,23.1538827,1.996170773,0.014619599,2.643065519,0.007873998
2456.25901,9.459975288,14276.76146,35693.50965,472047.9934,19.00746664,1.76931052,0.014840075,2.615512752,0.006847873
2456.36816,9.460408752,14277.14253,35693.30306,495757.0246,20.04735432,1.72562552,0.013057023,1.908000856,0.006277542
2456.4773,9.460842216,14277.52359,35693.09646,450784.2914,22.84396748,1.688775761,0.013986123,2.403799544,0.007292538
2456.58649,9.46127568,14277.90466,35692.88987,469141.5881,23.86921272,1.740864255,0.014210872,2.979135874,0.007402798
2456.69564,9.461709144,14278.28572,35692.68327,424745.8034,19.81904715,1.775036354,0.013194575,2.686208806,0.007251379
2456.8048,9.462142608,14278.66678,35692.47668,431245.5878,20.88484971,1.786841271,0.015461433,2.472788598,0.008054247
2456.91396,9.462576072,14279.04785,35692.27009,404046.1712,21.58189688,2.104167284,0.01764064,2.509492175,0.008407894
2457.02307,9.463009536,14279.42891,35692.06349,448038.1598,22.92111642,1.839486339,0.014719304,2.653008453,0.00775196
2457.13229,9.463443,14279.80998,35691.8569,457626.2902,20.47842449,1.619043735,0.013407057,2.831327811,0.008401333
2457.24144,9.463876464,14280.19104,35691.6503,421798.4804,22.89026295,1.625239208,0.015005941,2.731518968,0.007638943
2457.35058,9.464309928,14280.57211,35691.44371,442703.0328,20.55277463,1.581802749,0.014842338,2.776111418,0.007746762
2457.45973,9.464743392,14280.95317,35691.23712,447468.2823,20.28449385,1.8170324,0.015278238,2.659420924,0.007835118
2457.56877,9.465176856,14281.33423,35691.03052,465353.8767,19.72307324,1.77094951,0.016975749,2.538142038,0.008449539
2457.67791,9.46561032,14281.7153,35690.82393,522259.0203,17.86600828,1.630874333,0.013874399,2.501930644,0.006607156
2457.78706,9.466043784,14282.09636,35690.61733,452168.2159,19.02159573,1.744948544,0.015493408,2.544811685,0.006472697
2457.89621,9.466477248,14282.47743,35690.41074,435558.5038,21.672392,1.892265444,0.015030647,2.749357586,0.007848919
2458.00528,9.466910712,14282.85849,35690.20415,478321.5011,22.14072364,1.873677872,0.01323043,2.379281167,0.006026969
2458.11439,9.467344176,14283.23956,35689.99755,460011.4876,19.0278005,1.98454654,0.014756006,1.930502664,0.006908517
2458.22354,9.46777764,14283.62062,35689.79096,464938.8536,20.32470217,1.637295186,0.013871656,2.591425221,0.006200675
2458.33268,9.468211104,14284.00168,35689.58436,434005.8763,19.21475343,1.451654866,0.013358133,2.294634086,0.006945372
2458.44173,9.468644568,14284.38275,35689.37777,507705.3676,21.22869111,1.484644348,0.012463785,2.455621159,0.007162675
2458.55089,9.469078032,14284.76381,35689.17118,458196.6228,21.25103307,1.560527273,0.013284858,2.365600455,0.006840523
2458.66005,9.469511496,14285.14488,35688.96458,500987.6816,19.31152644,1.478741544,0.011907602,2.178854233,0.006059262
2458.76919,9.46994496,14285.52594,35688.75799,466339.611,21.13862055,1.44205308,0.013829934,2.449212403,0.007611378
2458.87833,9.470378425,14285.90701,35688.5514,440735.2983,24.31998974,1.643417187,0.017157371,2.922304093,0.006591251
2458.98747,9.470811889,14286.28807,35688.3448,498895.4188,21.92173959,1.525718577,0.01273259,2.266101348,0.007179794
2459.09666,9.471245353,14286.66913,35688.13821,456485.7016,18.97210275,1.687910478,0.015081925,2.492503239,0.007153456
2459.2058,9.471678817,14287.0502,35687.93161,469349.1664,19.11021685,1.444611735,0.014513548,2.843539022,0.007818642
2459.31499,9.472112281,14287.43126,35687.72502,467065.9903,20.88728139,1.716934066,0.013032254,2.865437415,0.006570088
2459.42411,9.472545745,14287.81233,35687.51843,487213.5747,19.46518546,1.535780165,0.01388151,2.271824183,0.006230779
2459.53329,9.472979209,14288.19339,35687.31183,497500.5769,19.242009,1.325607781,0.015634557,2.497199775,0.006255515
2459.64243,9.473412673,14288.57446,35687.10524,466028.3182,21.41881693,1.700920585,0.015291342,2.362874666,0.007593018
2459.75157,9.473846137,14288.95552,35686.89864,505623.4799,22.19457211,1.582189765,0.01256296,2.451002833,0.006262941
2459.86072,9.474279601,14289.33659,35686.69205,520864.1784,17.48005872,1.301567639,0.01265887,2.143092213,0.007443077
2459.96988,9.474713065,14289.71765,35686.48546,476824.2425,20.41319248,1.480097513,0.016110602,2.50329867,0.00510655
2460.07907,9.475146529,14290.09871,35686.27886,475183.1069,18.4128945,1.812112534,0.014182546,2.244562519,0.005974856
2460.18822,9.475579993,14290.47978,35686.07227,446898.4302,21.17790333,1.678651937,0.015297746,2.325400296,0.007013697
2460.29736,9.476013457,14290.86084,35685.86567,507965.6275,19.21893259,1.283708225,0.013123422,2.30162434,0.007331106
2460.40651,9.476446921,14291.24191,35685.65908,443450.4542,23.65764663,1.583302741,0.013182236,2.520022965,0.006674041
2460.51569,9.476880385,14291.62297,35685.45249,534463.8867,20.40833353,1.496714963,0.012788528,2.37500636,0.005699746
2460.62484,9.477313849,14292.00404,35685.24589,519120.626,18.24621409,1.409220622,0.012747988,2.02825766,0.006036774
2460.734,9.477747313,14292.3851,35685.0393,446240.138,21.87748796,1.971258163,0.014237065,2.497413144,0.00834656
2460.84316,9.478180777,14292.76616,35684.8327,432763.9107,25.64271028,1.789110435,0.014345931,2.841525475,0.007243096
2460.95228,9.478614241,14293.14723,35684.62611,443101.7438,24.51227708,1.764006699,0.013901681,2.515126196,0.007123201
2461.06147,9.479047705,14293.52829,35684.41952,418955.2199,26.5190975,1.848165283,0.015915668,2.987087038,0.00716916
2461.17061,9.479481169,14293.90936,35684.21292,436956.0307,21.09647825,1.632259313,0.016808055,2.357447054,0.006998447
2461.27976,9.479914633,14294.29042,35684.00633,502731.234,18.40474627,1.77155524,0.012491119,2.247442221,0.006538088
2461.3889,9.480348097,14294.67149,35683.79973,456744.9173,21.69666729,1.844867698,0.013485876,2.600141824,0.007364723
2461.49806,9.480781561,14295.05255,35683.59314,485810.5201,21.04950482,1.460296485,0.01357342,2.207255796,0.006136347
