response,predictor,peakID,r2,p,n,slope,slope_std_err,intercept,intercept_std_err
SrCa_mean,S_mean,3,0.035838086502953836,0.003439323236311246,237,0.04142708578425795,0.014016934107412355,1.0013582727486916,0.39756428912645714
SrCa_mean,S_mean,4,0.08487847148511163,7.051319189510501e-06,230,0.06605393953970806,0.014363884762614713,0.3065397652213593,0.4135348425880607
SrCa_mean,Chl_mean,1,0.00014915049311725603,0.8513284469087163,238,-0.0010628344009572079,0.00566454282588595,2.217422639061056,0.050635952960601444
SrCa_mean,Chl_mean,2,0.005817482346956893,0.2513692629766315,228,-0.006735905599441972,0.005857432552432823,2.2622186446836463,0.051189755656705686
SrCa_mean,Chl_mean,3,7.551367683278354e-05,0.8977897771147669,221,0.0006206917540298694,0.0048264155510998824,2.155807946668763,0.044489251529221445
SrCa_mean,Chl_mean,4,0.0001845987626346579,0.8401028172628955,223,-0.0010232603698630757,0.005065654154859563,2.216534357099473,0.04600288632172913
SrCa_mean,growth_mean,1,0.08623486223777788,0.0009322509049301443,124,0.0025920411633373027,0.0007639023291494245,1.87629620681619,0.04736401411846372
SrCa_mean,growth_mean,2,0.13703834944494642,2.318034307330919e-05,124,0.0036766301642019994,0.0008353043041620573,1.8245189441559169,0.050491353828491924
SrCa_mean,growth_mean,3,0.1391504481873883,1.8324678186663243e-05,125,0.003560049637847196,0.0007984078931371842,1.8311637348805285,0.04842290893872265
SrCa_mean,growth_mean,4,0.05084874457843824,0.012888569762471356,121,0.002400025185569585,0.0009505389427907066,1.9252797219966298,0.05380370292860772
BaCa_mean,T_mean,1,0.3602237858374653,1.4588129613343628e-25,247,0.00023431285845754713,1.9949909582978142e-05,0.0008679854240810283,0.0002557218073940479
BaCa_mean,T_mean,2,0.26244351636078067,1.1625418321164693e-17,243,0.0001826364617785057,1.972235093250742e-05,0.0015177424478698908,0.00026194445632654124
BaCa_mean,T_mean,3,0.24182755097962583,6.766274193783239e-16,238,0.00016853862537071683,1.9425605128071286e-05,0.0016935453337930052,0.000225437965631789
BaCa_mean,T_mean,4,0.2924759066882572,7.362628914100557e-20,243,0.00019296197171124517,1.9332533687515632e-05,0.0014536959940878627,0.0002394248841381882
BaCa_mean,S_mean,1,0.3141521814877414,3.586297663781716e-21,239,0.0005693542775776602,5.4645229688054623e-05,-0.012594956155273635,0.001570290346766034
BaCa_mean,S_mean,2,0.25890286130791396,4.45292612131534e-17,238,0.00048379866134569085,5.328166701103733e-05,-0.010141525265924975,0.0015379054293966743
BaCa_mean,S_mean,3,0.15133108970440423,7.121200936125824e-10,234,0.00032773542334648857,5.0954724637016055e-05,-0.005756507440812035,0.0014432824732034128
BaCa_mean,S_mean,4,0.22595429115144672,1.760191767009171e-14,232,0.00046382400316515764,5.6605979372513736e-05,-0.009557159329575595,0.0016240566527676
BaCa_mean,Chl_mean,1,0.05712626880385685,0.00022406554730128623,234,-8.560828771792797e-05,2.2833929551943905e-05,0.0044188973773197715,0.00021040740625779823
BaCa_mean,Chl_mean,2,0.09011710144825846,3.5653652233323587e-06,230,-0.00010829788687792967,2.2789862407974228e-05,0.0046279686760128235,0.0002031257549125159
BaCa_mean,Chl_mean,3,0.0056226861744953505,0.27143627540523524,217,-2.0655356112251573e-05,1.8733422954254453e-05,0.0036521792185639198,0.00017685830740188103
BaCa_mean,Chl_mean,4,0.050520537108335595,0.0007023541952226832,224,-7.20236974025682e-05,2.095596833078278e-05,0.004286333072471691,0.00019520451531340453
BaCa_mean,growth_mean,1,0.04485626263317877,0.01918688456623822,122,9.465617797316456e-06,3.98732067669691e-06,0.0030409362014672974,0.0002483765511554191
BaCa_mean,growth_mean,2,0.018081464476494835,0.14143335325462386,121,7.0956258448864145e-06,4.793339102983889e-06,0.003366804450415359,0.00028954737343058916
BaCa_mean,growth_mean,3,0.06141543302844499,0.006351907341025212,120,1.1576302404546361e-05,4.166072321223406e-06,0.002930167906560939,0.0002517231472121627
BaCa_mean,growth_mean,4,0.023711610722833787,0.0973922487824101,117,8.367498334664214e-06,5.006742412971153e-06,0.003296180502414394,0.00028379145768131156
