time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
70.95453,0.035662301,30972.82924,80682.89908,5701.299896,221.1594042,1.747242889,1000,0.345240084,0.015249806,0
71.06368,0.03610808,30973.19282,80682.64115,5601.254681,240.4698687,1.068835451,1000,0.31998437,0.031096095,0
71.17276,0.036553859,30973.55641,80682.38323,5951.416437,219.8388907,1.333852226,1000,0.33277616,0.014552233,0
71.2819,0.036999637,30973.91999,80682.1253,5351.145145,245.5884145,1.872932637,1000,0.347642313,0.032693896,0
71.39101,0.037445416,30974.28357,80681.86737,5451.188359,244.7142443,2.202260703,1000,0.402922569,0.016017608,0
71.50006,0.037891195,30974.64716,80681.60945,6151.513272,209.3098293,1.930152186,1000,0.333871893,0.021057824,0
71.60921,0.038336974,30975.01074,80681.35152,6001.440346,216.0765736,3.634890361,1000,0.230817646,0.021630545,0
71.71832,0.038782753,30975.37432,80681.09359,5501.210266,237.8265823,1.090146431,1000,0.297349454,0.031716105,0
71.82752,0.039228531,30975.7379,80680.83567,6201.537981,205.6499833,1.594385074,1000,0.283209148,0.048705836,0
71.93667,0.03967431,30976.10149,80680.57774,5101.040612,250.1358111,2.764142399,1000,0.370413569,0.017232238,0
72.04582,0.040120089,30976.46507,80680.31981,5651.277189,223.9742544,3.175506088,1000,0.30984381,0.030795091,0
72.15497,0.040565868,30976.82865,80680.06188,5501.210266,229.9786147,1.453531481,1000,0.355380234,0.031716105,0
72.26411,0.041011646,30977.19223,80679.80396,6051.464454,209.2528652,1.964834801,1000,0.294111059,0.028581726,0
72.3733,0.041457425,30977.55582,80679.54603,5801.345912,215.1648016,0.685744356,1000,0.297677782,0.044889432,0
72.48245,0.041903204,30977.9194,80679.2881,5351.145145,241.5781305,3.371305717,1000,0.351381106,0.016346817,0
72.59159,0.042348983,30978.28298,80679.03018,5751.322804,228.7851724,1.384518023,1000,0.359236053,0.007552467,0
72.70074,0.042794761,30978.64657,80678.77225,5551.232374,235.4102404,2.518586977,1000,0.38419406,0.039253958,0
72.80975,0.04324054,30979.01015,80678.51432,5351.145145,236.710948,1.872932637,1000,0.37755307,0.040867533,0
72.91889,0.043686319,30979.37373,80678.2564,6501.69044,195.4511582,1.514865579,1000,0.284204104,0.019832531,0
73.02805,0.044132098,30979.73731,80677.99847,5651.277189,228.3569815,1.411321926,1000,0.306322244,0.030795091,0
73.13719,0.044577876,30980.1009,80677.74054,6301.588,199.7777848,1.253571207,1000,0.322131598,0.013676373,0
73.24635,0.045023655,30980.46448,80677.48262,6551.71655,194.8736903,1.802855967,1000,0.257868808,0.026225479,0
73.35555,0.045469434,30980.82806,80677.22469,6201.537981,209.8565731,2.869916093,1000,0.340499662,0.020873596,0
73.46468,0.045915213,30981.19165,80676.96676,5501.210266,232.755834,1.816917985,1000,0.348126183,0.015857926,0
73.57382,0.046360992,30981.55523,80676.70884,5851.36922,212.0568356,0.679353814,1000,0.298293978,0.014823463,0
73.68296,0.04680677,30981.91881,80676.45091,5601.254681,228.5461809,0.712555542,1000,0.305760396,0.015547923,0
73.79208,0.047252549,30982.28239,80676.19298,6001.440346,207.2991853,0.66087726,1000,0.352847373,0.028840842,0
73.9013,0.047698328,30982.64598,80675.93506,6151.513272,209.7403478,2.89524565,1000,0.308184507,0.035096653,0
74.01046,0.048144107,30983.00956,80675.67713,6051.464454,207.0004931,2.619790213,1000,0.35621471,0.021436209,0
74.11962,0.048589885,30983.37314,80675.4192,5851.36922,218.0917524,2.717447867,1000,0.298293978,0.044471101,0
74.22875,0.049035664,30983.73673,80675.16127,6101.488763,210.3049865,0.649107845,1000,0.285013431,0.007081721,0
74.33779,0.049481443,30984.10031,80674.90335,6051.464454,212.8830705,4.58468789,1000,0.366020982,0.028581726,0
74.44694,0.049927222,30984.46389,80674.64542,5401.166652,238.6247565,2.22466202,1000,0.321901864,0.032361336,0
74.55601,0.050373,30984.82747,80674.38749,6051.464454,206.1247481,2.292311852,1000,0.277768778,0.014290749,0
74.66516,0.050818779,30985.19106,80674.12957,5851.36922,213.5489183,1.01903276,1000,0.274562204,0.022235284,0
74.77433,0.051264558,30985.55464,80673.87164,5301.123838,241.41031,1.513900582,1000,0.373917826,0,0
74.88356,0.051710337,30985.91822,80673.61371,5101.040612,255.5688763,0.789747074,1000,0.366472266,0.043081112,0
74.99272,0.052156115,30986.2818,80673.35579,5101.040612,256.0972602,3.948798549,1000,0.303413563,0.034464752,0
75.10185,0.052601894,30986.64539,80673.09786,5401.166652,242.664919,1.853881309,1000,0.325602536,0,0
75.21093,0.053047673,30987.00897,80672.83993,5801.345912,219.4880563,3.771661849,1000,0.345589632,0.014962905,0
75.3201,0.053493452,30987.37255,80672.58201,5351.145145,237.855926,2.996710199,1000,0.276608102,0.008173376,0
