time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,,,,,,,,,,,,,,
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,,,,,,,,,,,,,,
2786.40494,10.87235573,70652.5334,57662.00256,526185.8987,19.12308224,2.056866022,1000,0.021232251,2.071782544,0.005120598,,,,,,,,,,,,,,
2786.51409,10.87278825,70652.16971,57661.76845,377463.3204,19.72519269,2.354003971,1000,0.024050044,3.42389794,0.005362872,,,,,,,,,,,,,,
2786.62329,10.87322077,70651.80602,57661.53435,361213.3475,27.09713787,3.653445764,1000,0.033085522,2.870278345,0.006085073,,,,,,,,,,,,,,
2786.73236,10.87365329,70651.44234,57661.30024,365805.7311,24.4659284,2.560573787,1000,0.028969675,3.799636943,0.005945292,,,,,,,,,,,,,,
2786.84155,10.87408581,70651.07865,57661.06614,296167.5294,27.71136557,3.519866094,1000,0.022883551,5.304497305,0.008831306,,,,,,,,,,,,,,
2786.95077,10.87451832,70650.71497,57660.83203,296013.9553,33.80273923,4.759922674,1000,0.03618607,6.209628512,0.007232331,,,,,,,,,,,,,,
2787.05986,10.87495084,70650.35128,57660.59793,593658.6124,14.33624795,2.184221831,1000,0.018398344,1.828581036,0.002570404,,,,,,,,,,,,,,
2787.16917,10.87538336,70649.98759,57660.36383,417734.9924,28.03315315,2.932555275,1000,0.031909006,1.862847523,0.00609163,,,,,,,,,,,,,,
2787.27832,10.87581588,70649.62391,57660.12972,560805.4062,21.20365639,2.035276507,1000,0.015982826,2.537699666,0.003628496,,,,,,,,,,,,,,
2787.38752,10.8762484,70649.26022,57659.89562,466484.9112,21.33857187,2.431427699,1000,0.017916585,2.682931855,0.004313433,,,,,,,,,,,,,,
2787.49668,10.87668092,70648.89653,57659.66151,370044.8545,26.40301992,3.0660507,1000,0.031697539,2.832279978,0.00522038,,,,,,,,,,,,,,
2787.60582,10.87711344,70648.53285,57659.42741,421974.1158,24.46281935,2.298165065,1000,0.023145497,3.597338712,0.004659352,,,,,,,,,,,,,,
2787.71497,10.87754596,70648.16916,57659.19331,444936.0341,21.57681562,2.499447977,1000,0.022197726,3.186277349,0.004184595,,,,,,,,,,,,,,
2787.8241,10.87797847,70647.80547,57658.9592,412789.3485,30.8776692,2.667472559,1000,0.020785301,2.15453906,0.003754224,,,,,,,,,,,,,,
2787.9333,10.87841099,70647.44179,57658.7251,359800.3063,34.03487036,3.446628347,1000,0.027765265,2.014452491,0.008296518,,,,,,,,,,,,,,
2788.04245,10.87884351,70647.0781,57658.49099,563278.2282,16.53977214,2.124826041,1000,0.020714912,2.673314447,0.00418751,,,,,,,,,,,,,,
2788.1516,10.87927603,70646.71442,57658.25689,337544.9086,39.82824995,2.736953446,1000,0.036391469,2.517649601,0.006032422,,,,,,,,,,,,,,
2788.26075,10.87970855,70646.35073,57658.02278,491213.1309,16.78741112,2.587541939,1000,0.020385107,1.635562553,0.003201262,,,,,,,,,,,,,,
2788.36979,10.88014107,70645.98704,57657.78868,290486.5283,33.44833114,4.002963129,1000,0.033452052,4.425030881,0.006334069,,,,,,,,,,,,,,
2788.47894,10.88057359,70645.62336,57657.55458,490859.8706,21.32778517,1.907490169,1000,0.022705766,2.945850426,0.006338157,,,,,,,,,,,,,,
2788.58802,10.88100611,70645.25967,57657.32047,387001.348,22.82983282,2.415354589,1000,0.024098556,3.153168064,0.004453174,,,,,,,,,,,,,,
2788.69717,10.88143862,70644.89598,57657.08637,437870.8284,17.04465356,2.594742968,1000,0.024069662,3.88502984,0.004014428,,,,,,,,,,,,,,
2788.80631,10.88187114,70644.5323,57656.85226,391946.9919,27.42478148,3.149379507,1000,0.01865237,2.286783638,0.00708355,,,,,,,,,,,,,,
2788.91542,10.88230366,70644.16861,57656.61816,447055.5957,18.93767918,2.06981241,1000,0.018757959,3.604793362,0.005199862,,,,,,,,,,,,,,
2789.02447,10.88273618,70643.80493,57656.38405,447055.5957,23.80451156,2.297290281,1000,0.019745852,1.721331318,0.005665725,,,,,,,,,,,,,,
2789.13362,10.8831687,70643.44124,57656.14995,517707.6519,19.21674273,2.694414789,1000,0.016781681,2.589483625,0.005070462,,,,,,,,,,,,,,
2789.24277,10.88360122,70643.07755,57655.91585,410316.5265,30.55096595,2.282428933,1000,0.026563116,3.281521152,0.004679121,,,,,,,,,,,,,,
2789.35192,10.88403374,70642.71387,57655.68174,429039.3214,20.63008438,1.911233568,1000,0.026110416,1.912874147,0.004582525,,,,,,,,,,,,,,
2789.46106,10.88446626,70642.35018,57655.44764,342490.5526,22.57077079,2.875583302,1000,0.024574821,2.431124542,0.011928346,,,,,,,,,,,,,,
2789.57021,10.88489877,70641.98649,57655.21353,428686.0611,19.18403677,2.365661648,1000,0.0249725,2.218618872,0.005207046,,,,,,,,,,,,,,
2789.67935,10.88533129,70641.62281,57654.97943,452001.2397,18.49262783,2.497158618,1000,0.020628814,1.332033731,0.005347675,,,,,,,,,,,,,,
2789.78849,10.88576381,70641.25912,57654.74533,360525.2266,27.42306278,2.192950998,1000,0.022577797,4.256167495,0.006289308,,,,,,,,,,,,,,
2789.8977,10.88619633,70640.89544,57654.51122,442463.2121,22.49851471,2.333702366,1000,0.021198844,2.004434848,0.005489248,,,,,,,,,,,,,,
2790.00685,10.88662885,70640.53175,57654.27712,395479.5947,21.52495032,1.704416395,1000,0.024768089,3.059443649,0.0174752,,,,,,,,,,,,,,
2790.11599,10.88706137,70640.16806,57654.04301,413849.1293,18.49727531,3.147911814,1000,0.023400371,2.693780914,0.005953174,,,,,,,,,,,,,,
2790.22514,10.88749389,70639.80438,57653.80891,406430.6634,21.97480365,1.522028385,1000,0.031370418,3.672622302,0.006745348,,,,,,,,,,,,,,
2790.33415,10.88792641,70639.44069,57653.5748,425153.4583,20.6117475,2.207022029,1000,0.020244971,1.952172103,0.006665668,,,,,,,,,,,,,,
2790.44329,10.88835892,70639.077,57653.3407,590479.2698,19.2243712,1.676155708,1000,0.013356365,1.927896002,0.003230534,,,,,,,,,,,,,,
2790.55244,10.88879144,70638.71332,57653.1066,372870.9367,28.81839828,2.318572914,1000,0.028568071,4.207079811,0.005770401,,,,,,,,,,,,,,
2790.66159,10.88922396,70638.34963,57652.87249,430452.3625,28.69086592,2.261433018,1000,0.019738923,2.146528555,0.0062609,,,,,,,,,,,,,,
2790.77075,10.88965648,70637.98595,57652.63839,398658.9373,27.88382814,1.89479446,1000,0.017784014,1.711082909,0.007864143,,,,,,,,,,,,,,
2790.8798,10.890089,70637.62226,57652.40428,456240.3631,21.54996751,1.639161691,1000,0.01850087,1.647530367,0.006946511,,,,,,,,,,,,,,
2790.98894,10.89052152,70637.25857,57652.17018,420914.335,19.34479682,2.365464244,1000,0.024253388,2.134906115,0.005055919,,,,,,,,,,,,,,
2791.0981,10.89095404,70636.89489,57651.93607,374990.4984,39.76960516,3.020619869,1000,0.022883551,2.085572134,0.004009797,,,,,,,,,,,,,,
2791.20724,10.89138656,70636.5312,57651.70197,525479.3781,16.9543158,1.922409682,1000,0.014642655,1.866967493,0.005721972,,,,,,,,,,,,,,
2791.31634,10.89181908,70636.16751,57651.46787,431158.8831,16.98153835,2.420702637,1000,0.021435215,2.330825121,0.004506304,,,,,,,,,,,,,,
2791.4255,10.89225159,70635.80383,57651.23376,365099.2106,28.82667538,2.641519181,1000,0.027588598,2.901726359,0.006907785,,,,,,,,,,,,,,
2791.53472,10.89268411,70635.44014,57650.99966,496865.2954,15.96086537,1.917894897,1000,0.019041836,1.242696011,0.006447783,,,,,,,,,,,,,,
2791.64388,10.89311663,70635.07646,57650.76555,299341.8123,33.91445785,2.99420482,1000,0.031537812,2.688160848,0.006417027,,,,,,,,,,,,,,
2791.75301,10.89354915,70634.71277,57650.53145,381702.4438,24.32913649,2.298757857,1000,0.02002153,2.882317575,0.006364318,,,,,,,,,,,,,,
2791.86213,10.89398167,70634.34908,57650.29735,396539.3756,28.21726742,2.343186871,1000,0.017461583,4.47660014,0.005746487,,,,,,,,,,,,,,
2791.97129,10.89441419,70633.9854,57650.06324,366512.2517,27.26165122,2.560676142,1000,0.02446838,2.013090107,0.004828776,,,,,,,,,,,,,,
2792.08043,10.89484671,70633.62171,57649.82914,329419.9222,28.03387364,2.944948988,1000,0.023623614,3.733395259,0.004951846,,,,,,,,,,,,,,
2792.18958,10.89527923,70633.25802,57649.59503,512408.7477,18.81218385,1.646824856,1000,0.01905614,3.285133648,0.004197318,,,,,,,,,,,,,,
2792.29879,10.89571174,70632.89434,57649.36093,470370.7743,21.07989278,1.731307276,1000,0.018179142,1.83066298,0.004769643,,,,,,,,,,,,,,
2792.40798,10.89614426,70632.53065,57649.12682,393360.033,30.08399283,1.929753252,1000,0.024129602,2.478342315,0.006293117,,,,,,,,,,,,,,
2792.51713,10.89657678,70632.16697,57648.89272,486267.4869,18.98110858,2.081409309,1000,0.017357132,2.006400157,0.004304273,,,,,,,,,,,,,,
2792.62622,10.8970093,70631.80328,57648.65862,360153.5666,30.5295617,2.015560841,1000,0.024134378,2.125878826,0.006392211,,,,,,,,,,,,,,
2792.73536,10.89744182,70631.43959,57648.42451,355561.183,40.38114349,2.400420625,1000,0.019942991,1.737329228,0.005596095,,,,,,,,,,,,,,
2792.84454,10.89787434,70631.07591,57648.19041,435044.7462,28.95045432,2.450065289,1000,0.018895812,2.355725351,0.006380922,,,,,,,,,,,,,,
2792.95378,10.89830686,70630.71222,57647.9563,344610.1143,24.05280212,2.745153853,1000,0.030193309,2.298614978,0.010544294,,,,,,,,,,,,,,
2793.06292,10.89873938,70630.34853,57647.7222,382762.2246,19.03639527,2.601585773,1000,0.019749658,1.684519067,0.005288522,,,,,,,,,,,,,,
2793.17206,10.89917189,70629.98485,57647.48809,396186.1153,30.15104615,2.396620297,1000,0.02033368,2.044000916,0.005722411,,,,,,,,,,,,,,
2793.2812,10.89960441,70629.62116,57647.25399,360860.0872,21.11640045,2.359994335,1000,0.025693936,2.456503328,0.005225188,,,,,,,,,,,,,,
2793.39032,10.90003693,70629.25748,57647.01989,353088.361,29.9548415,2.286339759,1000,0.019066518,3.593559928,0.006126987,,,,,,,,,,,,,,
2793.49946,10.90046945,70628.89379,57646.78578,374990.4984,20.2736803,2.630923135,1000,0.01905538,2.820496775,0.006046338,,,,,,,,,,,,,,
2793.60861,10.90090197,70628.5301,57646.55168,313876.4698,34.92233425,3.12051346,1000,0.024707571,2.374243034,0.006930651,,,,,,,,,,,,,,
2793.71775,10.90133449,70628.16642,57646.31757,462952.3084,24.77223379,1.882854692,1000,0.01823232,2.215030095,0.004871155,,,,,,,,,,,,,,
2793.82694,10.90176701,70627.80273,57646.08347,403251.3209,20.90178361,1.932775298,1000,0.017581204,3.216551376,0.005421151,,,,,,,,,,,,,,
2793.93616,10.90219953,70627.43904,57645.84937,333079.327,24.48044776,2.851452642,1000,0.022037336,2.606080551,0.007294934,,,,,,,,,,,,,,
2794.04531,10.90263204,70627.07536,57645.61526,369338.3339,21.38131287,2.165572405,1000,0.018151643,3.11369361,0.006483686,,,,,,,,,,,,,,
2794.15439,10.90306456,70626.71167,57645.38116,635696.5858,13.06989852,1.155682141,1000,0.009454648,1.297493127,0.003473538,,,,,,,,,,,,,,
2794.26352,10.90349708,70626.34798,57645.14705,408903.4854,33.55647734,1.91054324,1000,0.023008568,4.217691663,0.007412098,,,,,,,,,,,,,,
2794.37262,10.9039296,70625.9843,57644.91295,373577.4573,25.38812916,1.997456271,1000,0.022009493,2.935911781,0.005139968,,,,,,,,,,,,,,
2794.48175,10.90436212,70625.62061,57644.67884,446702.3355,19.6498601,1.475638683,1000,0.018834602,1.969259076,0.003857275,,,,,,,,,,,,,,
2794.59082,10.90479464,70625.25693,57644.44474,368631.8134,30.88704563,3.04268939,1000,0.020507843,2.287325403,0.005083472,,,,,,,,,,,,,,
2794.69993,10.90522716,70624.89324,57644.21064,322558.7534,30.07018075,3.116667702,1000,0.025154263,5.092172674,0.007425612,,,,,,,,,,,,,,
2794.80913,10.90565968,70624.52955,57643.97653,423033.8966,35.88686594,1.719940645,1000,0.016757965,2.240189331,0.003991332,,,,,,,,,,,,,,
2794.91828,10.90609219,70624.16587,57643.74243,429392.5817,19.36752774,1.913964033,1000,0.01400306,2.501847397,0.005467927,,,,,,,,,,,,,,
2795.02742,10.90652471,70623.80218,57643.50832,418441.513,19.09480093,1.805095759,1000,0.017139998,1.789172795,0.00619195,,,,,,,,,,,,,,
2795.13657,10.90695723,70623.43849,57643.27422,458713.185,17.66922254,2.198526143,1000,0.012866315,2.083685147,0.003554425,,,,,,,,,,,,,,
2795.24572,10.90738975,70623.07481,57643.04011,545261.9539,20.90292897,1.262844893,1000,0.014819354,1.768335884,0.004262369,,,,,,,,,,,,,,
2795.35492,10.90782227,70622.71112,57642.80601,375697.019,23.91233333,2.168232949,1000,0.02041552,2.194918298,0.005357323,,,,,,,,,,,,,,
2795.46406,10.90825479,70622.34744,57642.57191,554446.7212,17.92275247,1.145282084,1000,0.016116534,1.481015359,0.00360757,,,,,,,,,,,,,,
2795.57321,10.90868731,70621.98375,57642.3378,368985.0736,20.02772174,2.698869904,1000,0.018468274,3.798473093,0.004420075,,,,,,,,,,,,,,
2795.68236,10.90911983,70621.62006,57642.1037,417734.9924,25.73466108,1.839124948,1000,0.017235095,2.428004762,0.006036227,,,,,,,,,,,,,,
2795.79151,10.90955234,70621.25638,57641.86959,444582.7738,33.81674413,1.615687622,1000,0.016751671,1.704676963,0.004187924,,,,,,,,,,,,,,
2795.90071,10.90998486,70620.89269,57641.63549,491919.6514,17.24350131,1.779370135,1000,0.013735516,2.800708263,0.004348823,,,,,,,,,,,,,,
2796.00986,10.91041738,70620.529,57641.40139,472490.336,16.14886394,1.500591004,1000,0.016870827,2.03883157,0.005115506,,,,,,,,,,,,,,
2796.119,10.9108499,70620.16532,57641.16728,483794.665,19.26912012,1.851316139,1000,0.015791661,1.874126883,0.003872009,,,,,,,,,,,,,,
2796.22816,10.91128242,70619.80163,57640.93318,428332.8009,14.98255738,1.802192445,1000,0.01629266,2.647436688,0.005211346,,,,,,,,,,,,,,
2796.33734,10.91171494,70619.43795,57640.69907,397245.8961,19.92578846,1.67356638,1000,0.016527279,2.911056357,0.004745917,,,,,,,,,,,,,,
2796.44649,10.91214746,70619.07426,57640.46497,444936.0341,16.40195979,1.639323743,1000,0.016738354,2.444414007,0.004808616,,,,,,,,,,,,,,
2796.55563,10.91257998,70618.71057,57640.23086,447408.856,20.43488989,1.242059589,1000,0.018928209,1.739143026,0.004083871,,,,,,,,,,,,,,
2796.66478,10.91301249,70618.34689,57639.99676,523713.0767,13.89525422,1.501850913,1000,0.015060922,1.651210366,0.003201137,,,,,,,,,,,,,,
2796.77393,10.91344501,70617.9832,57639.76266,385941.5671,27.87440252,1.823221019,1000,0.019515205,2.860394466,0.003716002,,,,,,,,,,,,,,
2796.88295,10.91387753,70617.61951,57639.52855,500044.6379,23.99772279,1.661716901,1000,0.015057169,2.360651497,0.003537864,,,,,,,,,,,,,,
2796.9921,10.91431005,70617.25583,57639.29445,335072.0867,42.32863541,2.508812847,1000,0.027509845,3.296393991,0.004902713,,,,,,,,,,,,,,
2797.10126,10.91474257,70616.89214,57639.06034,453767.5411,28.08106727,1.660323448,1000,0.015560745,1.602833658,0.002471709,,,,,,,,,,,,,,
2797.21039,10.91517509,70616.52846,57638.82624,422327.3761,28.39419297,1.73595011,1000,0.015283081,3.391199398,0.004354119,,,,,,,,,,,,,,
2797.31951,10.91560761,70616.16477,57638.59213,420561.0747,27.59426288,1.826750096,1000,0.018103527,2.605041102,0.004537482,,,,,,,,,,,,,,
2797.42872,10.91604013,70615.80108,57638.35803,598250.996,15.8375764,1.181765343,1000,0.013690023,2.234227537,0.003149867,,,,,,,,,,,,,,
2797.53786,10.91647264,70615.4374,57638.12393,426919.7597,19.46979249,1.518136072,1000,0.018092138,3.082200219,0.003440138,,,,,,,,,,,,,,
2797.64702,10.91690516,70615.07371,57637.88982,399365.4578,25.35476325,2.433078931,1000,0.017959844,1.973571004,0.003417127,,,,,,,,,,,,,,
2797.75617,10.91733768,70614.71002,57637.65572,433278.4448,21.7615084,1.380689454,1000,0.017316683,1.757920729,0.003896839,,,,,,,,,,,,,,
2797.86522,10.9177702,70614.34634,57637.42161,515941.3505,24.63939182,1.316784304,1000,0.013362701,1.942743848,0.003025251,,,,,,,,,,,,,,
