response,predictor,specimen,r2,p
MnCa_mean,growth_mean,G723,0.1556778429936827,0.3333938802028812
MnCa_mean,growth_mean,G728,0.20807841312145747,0.25594630606726004
MnCa_mean,growth_mean,G730,0.11765597552733043,0.40552182999896164
MnCa_mean,growth_mean,G732,0.10019005724712549,0.4449594734619882
MnCa_mean,growth_mean,G737,0.09500254683941234,0.4576379163349331
MnCa_mean,growth_mean,G753,0.14636550328904452,0.3969848095157383
MnCa_mean,growth_mean,G767,0.18613952478683138,0.2858311784779133
MnCa_mean,growth_mean,G770,0.15445268524999956,0.33547623003079724
MnCa_mean,growth_mean,G779,0.17515292931464665,0.302103485240562
MnCa_mean,growth_mean,G781,0.2170702964095914,0.2446084196146576
SrCa_mean,T_mean,B255,0.27566418734100995,0.0444660309032077
SrCa_mean,T_mean,B323,0.3201634615461879,0.02790704122829202
SrCa_mean,T_mean,B325,0.35366096696091165,0.019371947592295647
SrCa_mean,T_mean,G652,0.08033387099482647,0.30598362164059356
SrCa_mean,T_mean,G664,0.10155844274682313,0.24699629288413125
SrCa_mean,T_mean,G668,0.2800643610912559,0.04250029676496127
SrCa_mean,T_mean,G691,0.2762273756248549,0.04420986500961648
SrCa_mean,T_mean,G717,0.0732055795278681,0.32939079426381024
SrCa_mean,T_mean,G719,0.5173967085785489,0.0025060780514058073
SrCa_mean,T_mean,G723,0.09359800203852253,0.2674488805497299
SrCa_mean,T_mean,G728,0.4294815790717066,0.007998837060974396
SrCa_mean,T_mean,G730,0.23830336066614222,0.06486641400232972
SrCa_mean,T_mean,G732,0.034181013812143224,0.5094812467941623
SrCa_mean,T_mean,G737,0.020231667540660192,0.6130827729789742
SrCa_mean,T_mean,G753,0.024120475148408538,0.5959977347672589
SrCa_mean,T_mean,G767,5.823835166784974e-06,0.9931896724539344
SrCa_mean,T_mean,G770,0.3071788041714867,0.03203675793884798
SrCa_mean,T_mean,G779,0.2710931589261094,0.04659611362297074
SrCa_mean,T_mean,G781,0.31134803761143737,0.030654225197599885
SrCa_mean,S_mean,B255,0.09378005446969706,0.2669603236685255
SrCa_mean,S_mean,B323,0.43154264843974177,0.007798477244927579
SrCa_mean,S_mean,B325,0.41871449518725956,0.00912093986785418
SrCa_mean,S_mean,G652,0.019737471637966908,0.6174972628560698
SrCa_mean,S_mean,G664,0.0718274162970235,0.33416403255499405
SrCa_mean,S_mean,G668,0.2521679946704345,0.056454108399071244
SrCa_mean,S_mean,G691,0.20520799085204844,0.08994192681545571
SrCa_mean,S_mean,G717,0.23012021483493506,0.0703663370192842
SrCa_mean,S_mean,G719,0.30326294210027793,0.03338646408696213
SrCa_mean,S_mean,G723,0.15191845700644835,0.15096230547863884
SrCa_mean,S_mean,G728,0.3364100612207037,0.023418557214039615
SrCa_mean,S_mean,G730,0.24465647439082738,0.06087647802285243
SrCa_mean,S_mean,G732,0.0986766737351733,0.2541905994211016
SrCa_mean,S_mean,G737,0.013015611606698951,0.685590165120679
SrCa_mean,S_mean,G753,0.09549818438802093,0.2823443910604089
SrCa_mean,S_mean,G767,0.13929679620878876,0.17061876562271916
SrCa_mean,S_mean,G770,0.2201641154170404,0.07764878010326451
SrCa_mean,S_mean,G779,0.0067678259744589075,0.7706916003505162
SrCa_mean,S_mean,G781,0.4134168347011986,0.009722243618838344
SrCa_mean,growth_mean,B255,0.3749954791266974,0.10656088823930451
SrCa_mean,growth_mean,B323,0.004670864007679909,0.872253996895009
SrCa_mean,growth_mean,B325,0.03429023771228257,0.6606500819899429
SrCa_mean,growth_mean,G652,0.1047773152965884,0.4341372074731528
SrCa_mean,growth_mean,G664,0.1943703434377383,0.2742303761428579
SrCa_mean,growth_mean,G668,0.0022803224449505777,0.9105996679030639
SrCa_mean,growth_mean,G691,0.02686046933816033,0.6981615927842016
SrCa_mean,growth_mean,G717,0.5592498273246257,0.03288905043166785
SrCa_mean,growth_mean,G719,0.5532559009012644,0.034372699289144396
SrCa_mean,growth_mean,G723,0.08379219894547574,0.48680284542447405
SrCa_mean,growth_mean,G728,0.16560982300679383,0.3170237889097654
SrCa_mean,growth_mean,G730,0.42379530563628875,0.08039915727946373
SrCa_mean,growth_mean,G732,0.5295019661851261,0.040741675160258777
SrCa_mean,growth_mean,G737,0.04426532350028389,0.6169994529770058
SrCa_mean,growth_mean,G753,0.3131663537019713,0.19145454823480576
SrCa_mean,growth_mean,G767,0.34254559006466867,0.12746215101794559
SrCa_mean,growth_mean,G770,0.38891443591297603,0.09849451664267457
SrCa_mean,growth_mean,G779,0.37684380397582984,0.10546014945010757
SrCa_mean,growth_mean,G781,0.7874781514245588,0.0032744796465710383
BaCa_mean,T_mean,B255,0.017161520703607214,0.6416689889208833
BaCa_mean,T_mean,B323,0.2784111305496513,0.04322932582039846
BaCa_mean,T_mean,B325,0.47826797496318174,0.004290773981116041
BaCa_mean,T_mean,G652,0.5599105494698278,0.0013334567300211952
BaCa_mean,T_mean,G664,0.03647974083622407,0.4953197506975032
BaCa_mean,T_mean,G668,0.7815138165239072,1.226368290038831e-05
BaCa_mean,T_mean,G691,0.259522090846947,0.05241476555693372
BaCa_mean,T_mean,G717,0.4291904249555082,0.008027502272603973
BaCa_mean,T_mean,G719,0.042723033244688735,0.4598352127634534
BaCa_mean,T_mean,G723,0.18235727625007447,0.11238842838631515
BaCa_mean,T_mean,G728,0.008999869938297378,0.7366407727149601
BaCa_mean,T_mean,G730,0.171197639088292,0.12524251491557428
BaCa_mean,T_mean,G732,0.48998964811164913,0.0036665820870508425
BaCa_mean,T_mean,G737,7.201270377021896e-05,0.9760549734407333
BaCa_mean,T_mean,G753,0.25509063821066913,0.0654559355338548
BaCa_mean,T_mean,G767,0.32342882902216663,0.02694724776833639
BaCa_mean,T_mean,G770,0.23461533467291873,0.06729331459435504
BaCa_mean,T_mean,G779,0.3595116327857105,0.01814898471223155
BaCa_mean,T_mean,G781,0.5897670810554863,0.0008271053300403031
BaCa_mean,S_mean,B255,0.06805189938745348,0.3476857769351046
BaCa_mean,S_mean,B323,0.44056229288677606,0.006972583326547908
BaCa_mean,S_mean,B325,0.6518144425626918,0.00027347215919416965
BaCa_mean,S_mean,G652,0.5340769576740592,0.001968871270728001
BaCa_mean,S_mean,G664,0.04887044360551207,0.4284888127250448
BaCa_mean,S_mean,G668,0.4288882623836444,0.0080573467781645
BaCa_mean,S_mean,G691,0.1197254125468622,0.20647621475330954
BaCa_mean,S_mean,G717,0.6186004577231214,0.0005051384983127234
BaCa_mean,S_mean,G719,0.20300767808588738,0.09189986472258749
BaCa_mean,S_mean,G723,0.21788016922566877,0.07941685747939634
BaCa_mean,S_mean,G728,0.023993123041957776,0.5814868561645761
BaCa_mean,S_mean,G730,0.15564921611152438,0.14560366593495527
BaCa_mean,S_mean,G732,0.5978301265260848,0.0007229932429311234
BaCa_mean,S_mean,G737,0.0006586105373602713,0.9276633825348123
BaCa_mean,S_mean,G753,0.09840132840360083,0.2747648539268679
BaCa_mean,S_mean,G767,0.2320052444174877,0.06906197866592763
BaCa_mean,S_mean,G770,0.06431822870047088,0.3617398245667355
BaCa_mean,S_mean,G779,0.07656745941344623,0.31809178053825327
BaCa_mean,S_mean,G781,0.2697313438431359,0.047248601326467465
BaCa_mean,growth_mean,B255,0.1734385791569758,0.30472817905446997
BaCa_mean,growth_mean,B323,0.11497277312508536,0.41128171335767905
BaCa_mean,growth_mean,B325,0.040732657366366776,0.6317316825217725
BaCa_mean,growth_mean,G652,0.010432338725983259,0.8098174758097894
BaCa_mean,growth_mean,G664,0.11718106733314182,0.4065339279967483
BaCa_mean,growth_mean,G668,0.23061634458602576,0.2284347117489865
BaCa_mean,growth_mean,G691,0.04403197756427735,0.6179507013885137
BaCa_mean,growth_mean,G717,0.6183571769603928,0.020639166301233063
BaCa_mean,growth_mean,G719,0.0683067156153987,0.5318165068636362
BaCa_mean,growth_mean,G723,0.0002414275720498127,0.9708710517153301
BaCa_mean,growth_mean,G728,0.16199690322013394,0.3228756734577938
BaCa_mean,growth_mean,G730,0.7059109086699735,0.009020482017669135
BaCa_mean,growth_mean,G732,0.03796075796803533,0.6438238161904879
BaCa_mean,growth_mean,G737,0.004702433878321366,0.8718257116131853
BaCa_mean,growth_mean,G753,0.10796275032182356,0.471807813684005
BaCa_mean,growth_mean,G767,0.13528173025344137,0.3700352035525231
BaCa_mean,growth_mean,G770,0.05343356213803141,0.5817725436684346
BaCa_mean,growth_mean,G779,0.8381955433742164,0.0014129170102786203
BaCa_mean,growth_mean,G781,0.6891091593905184,0.010746878023651334
