specimen,start_date,end_date,start_distance_mm,end_distance_mm,true_spike_count,peakID,identified_spike_count
G664,2022-04-24,2022-10-11,6.117363511342138,15.364209227520078,7,peakID_3,2
G664,2022-04-24,2022-10-11,6.117363511342138,15.364209227520078,7,peakID_4,2
G737,2022-01-19,2022-03-01,-0.0537305577172873,1.023762057515309,1,peakID_1,0
G737,2022-01-19,2022-03-01,-0.0537305577172873,1.023762057515309,1,peakID_2,0
G737,2022-01-19,2022-03-01,-0.0537305577172873,1.023762057515309,1,peakID_3,0
G737,2022-01-19,2022-03-01,-0.0537305577172873,1.023762057515309,1,peakID_4,1
G737,2022-03-01,2022-04-24,1.023762057515309,9.173524383638235,0,peakID_1,6
G737,2022-03-01,2022-04-24,1.023762057515309,9.173524383638235,0,peakID_2,7
G737,2022-03-01,2022-04-24,1.023762057515309,9.173524383638235,0,peakID_3,7
G737,2022-03-01,2022-04-24,1.023762057515309,9.173524383638235,0,peakID_4,6
G737,2022-04-24,2022-10-11,9.173524383638235,20.59494610510378,7,peakID_1,1
G737,2022-04-24,2022-10-11,9.173524383638235,20.59494610510378,7,peakID_2,0
G737,2022-04-24,2022-10-11,9.173524383638235,20.59494610510378,7,peakID_3,0
G737,2022-04-24,2022-10-11,9.173524383638235,20.59494610510378,7,peakID_4,0
G732,2022-01-19,2022-03-01,0.827854309291201,1.2196698057394173,1,peakID_1,0
G732,2022-01-19,2022-03-01,0.827854309291201,1.2196698057394173,1,peakID_2,0
G732,2022-01-19,2022-03-01,0.827854309291201,1.2196698057394173,1,peakID_3,0
G732,2022-01-19,2022-03-01,0.827854309291201,1.2196698057394173,1,peakID_4,0
G732,2022-03-01,2022-04-24,1.2196698057394173,7.547490073378133,0,peakID_1,5
G732,2022-03-01,2022-04-24,1.2196698057394173,7.547490073378133,0,peakID_2,4
G732,2022-03-01,2022-04-24,1.2196698057394173,7.547490073378133,0,peakID_3,5
G732,2022-03-01,2022-04-24,1.2196698057394173,7.547490073378133,0,peakID_4,5
G732,2022-04-24,2022-10-11,7.547490073378133,20.35985680723485,7,peakID_1,2
G732,2022-04-24,2022-10-11,7.547490073378133,20.35985680723485,7,peakID_2,3
G732,2022-04-24,2022-10-11,7.547490073378133,20.35985680723485,7,peakID_3,2
G732,2022-04-24,2022-10-11,7.547490073378133,20.35985680723485,7,peakID_4,2
G717,2022-01-19,2022-03-01,0.20094951497405222,0.9845805078704881,1,peakID_1,0
G717,2022-01-19,2022-03-01,0.20094951497405222,0.9845805078704881,1,peakID_2,0
G717,2022-01-19,2022-03-01,0.20094951497405222,0.9845805078704881,1,peakID_3,0
G717,2022-01-19,2022-03-01,0.20094951497405222,0.9845805078704881,1,peakID_4,0
G717,2022-03-01,2022-04-24,0.9845805078704881,5.079052445754366,0,peakID_1,4
G717,2022-03-01,2022-04-24,0.9845805078704881,5.079052445754366,0,peakID_2,3
G717,2022-03-01,2022-04-24,0.9845805078704881,5.079052445754366,0,peakID_3,4
