specimen,category,element,mean,std,se,cl95,N,growth_rate,start_date,end_date
B255,interval 1,23Na/43Ca,26.2738001133622,3.0726683582750494,0.06935144882314226,0.13601024628129205,1963,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
B255,interval 1,25Mg/43Ca,0.7191095133515027,0.11051961922187487,0.002494475427449603,0.0048920999198626336,1963,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
B255,interval 1,43Ca/43Ca,1000.0,0.0,0.0,0.0,1963,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
B255,interval 1,55Mn/43Ca,0.006406964705043301,0.001172386592433263,2.6461270558895576e-05,5.189515124347797e-05,1963,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
B255,interval 1,88Sr/43Ca,1.2786132330789608,0.17688522263393266,0.003992375692622407,0.007829742715047931,1963,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
B255,interval 1,138Ba/43Ca,0.001153311952114111,0.0002524678308934294,5.698307728701545e-06,1.1175371974473644e-05,1963,49.726902108441834,2022-08-12 01:40:58.197899228,2022-09-09 01:19:26.541616416
B255,interval 2,Ca43,302807.9643967853,39387.9558065595,544.8522381945857,1068.138195654994,5226,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255,interval 2,23Na/43Ca,25.15103841166724,4.199140061407476,0.058086560068938496,0.11387394437330577,5226,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255,interval 2,25Mg/43Ca,0.9627048894793341,0.1724102899572063,0.002384945612113165,0.004675490572084368,5226,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255,interval 2,43Ca/43Ca,1000.0,0.0,0.0,0.0,5226,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255,interval 2,55Mn/43Ca,0.01009599437543054,0.001694222143537161,2.3436116650443723e-05,4.594458753645564e-05,5226,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255,interval 2,88Sr/43Ca,1.8890936590361653,0.3671652972416171,0.0050789849306208425,0.009956934044225721,5226,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255,interval 2,138Ba/43Ca,0.0024106379406812093,0.0005584855442495125,7.725511328338413e-06,1.5145232325936712e-05,5226,149.86529645902428,2022-07-24 06:05:11.630026861,2022-08-12 01:14:51.649834338
B255,interval 3,Ca43,311701.0998740878,51445.530124862555,529.0745609503003,1037.0998608132684,9455,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255,interval 3,23Na/43Ca,23.4624553970423,4.528163231824091,0.04656839900325596,0.09128407163978215,9455,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255,interval 3,25Mg/43Ca,0.9677984040977262,0.20917103480780047,0.0021511504135706037,0.004216717187262472,9455,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255,interval 3,43Ca/43Ca,1000.0,0.0,0.0,0.0,9455,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255,interval 3,55Mn/43Ca,0.010316905678053939,0.0018707684097264855,1.9239299752834967e-05,3.77131628857208e-05,9455,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255,interval 3,88Sr/43Ca,2.038598211165838,0.48168249161520266,0.004953704474426212,0.0097103255384454,9455,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255,interval 3,138Ba/43Ca,0.0035121860520359598,0.000960827638022615,9.88131446020525e-06,1.9369500270291125e-05,9455,179.21875416048326,2022-06-28 01:11:28.844036847,2022-07-24 05:55:57.328162327
B255,interval 4,Ca43,421808.53919222916,69448.88585946645,1057.7335296277242,2073.7019721848656,4311,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255,interval 4,23Na/43Ca,22.258817574798655,5.3932974654594545,0.08214201702265458,0.1610406193316696,4311,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255,interval 4,25Mg/43Ca,1.1573876899828346,0.2899762079466376,0.0044164503741661075,0.00865851520674418,4311,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255,interval 4,43Ca/43Ca,1000.0,0.0,0.0,0.0,4311,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255,interval 4,55Mn/43Ca,0.00832366114428207,0.0017328399650039044,2.6391826301900636e-05,5.174155939925048e-05,4311,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255,interval 4,88Sr/43Ca,2.167417939889353,0.5925239683881286,0.009024370379971655,0.017692409411716733,4311,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255,interval 4,138Ba/43Ca,0.00509628882927395,0.0012458322045053938,1.897450878710904e-05,3.719980050827704e-05,4311,89.82545670215288,2022-06-01 03:08:56.941381160,2022-06-28 00:58:30.053069547
B255,interval 5,Ca43,445826.4547268041,73274.04398336266,831.8007358336941,1630.5538420135056,7760,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255,interval 5,23Na/43Ca,20.907957032554,5.109221547778416,0.05799944989994559,0.11369456865680651,7760,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255,interval 5,25Mg/43Ca,0.704536046961469,0.19847843830338402,0.0022531104065358133,0.004416704231663611,7760,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255,interval 5,43Ca/43Ca,1000.0,0.0,0.0,0.0,7760,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255,interval 5,55Mn/43Ca,0.00647328881056701,0.0013876519185174528,1.5752506947288653e-05,3.087916326318487e-05,7760,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255,interval 5,88Sr/43Ca,2.039844416771779,0.571871324166266,0.006491834794210292,0.012725747537127586,7760,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255,interval 5,138Ba/43Ca,0.0037164553581185565,0.001064007286694579,1.207852052230006e-05,2.367715871726878e-05,7760,196.036567192954,2022-05-11 22:48:40.366769163,2022-06-01 02:56:19.823228751
B255,interval 6,Ca43,423977.5397792989,63926.17450335117,1391.3442556813814,2728.549800861331,2111,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255,interval 6,23Na/43Ca,20.37009165420227,4.609066878692403,0.10031569659128928,0.19672800088097625,2111,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255,interval 6,25Mg/43Ca,0.7660309271387968,0.178336681532219,0.0038814729546208853,0.007611913596605063,2111,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255,interval 6,43Ca/43Ca,1000.0,0.0,0.0,0.0,2111,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255,interval 6,55Mn/43Ca,0.008034604803884415,0.0020205189163149686,4.3976311887128944e-05,8.624145789388273e-05,2111,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255,interval 6,88Sr/43Ca,1.9766423025613453,0.5609523723919193,0.012209050003413319,0.023943032660313897,2111,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255,interval 6,138Ba/43Ca,0.004262544862624348,0.001104698716753148,2.404361321093149e-05,4.715166341528158e-05,2111,93.59838773350455,2022-04-25 00:11:32.481822480,2022-05-11 22:33:18.911257302
B255,interval 7,Ca43,397658.156310241,115872.54321221654,3399.205925098985,6669.273909862661,1162,10.122998730533945,2022-02-01 10:00:00.000000000,2022-04-24 22:16:25.323126338
B255,interval 7,23Na/43Ca,27.139354686924268,20.673295995213934,0.6064662800190218,1.1898925300986416,1162,10.122998730533945,2022-02-01 10:00:00.000000000,2022-04-24 22:16:25.323126338
B255,interval 7,25Mg/43Ca,5.665567806545611,23.64747585501825,0.6937160246219436,1.3610773474190285,1162,10.122998730533945,2022-02-01 10:00:00.000000000,2022-04-24 22:16:25.323126338
B255,interval 7,43Ca/43Ca,1000.0,0.0,0.0,0.0,1162,10.122998730533945,2022-02-01 10:00:00.000000000,2022-04-24 22:16:25.323126338
B255,interval 7,55Mn/43Ca,0.03902532469621343,0.16050147971358794,0.0047084284654939895,0.009237980814727875,1162,10.122998730533945,2022-02-01 10:00:00.000000000,2022-04-24 22:16:25.323126338
