response,predictor,peakID,r2,p,n,slope,slope_std_err,intercept,intercept_std_err
MnCa_mean,T_mean,4,0.014539075956611414,0.16681888005570183,133,-0.008710248077202066,0.006265362131938121,0.17689179323224588,0.07930255531197998
MnCa_mean,S_mean,1,0.007252450305623159,0.32064916145924327,138,-0.016989256850674886,0.01704440947426727,0.5817805974320691,0.4873125928808791
MnCa_mean,S_mean,2,0.010671875453394764,0.23490563240640366,134,-0.016038099327518276,0.013440509643977628,0.5415651403018205,0.3869184740913162
MnCa_mean,S_mean,3,0.0011449108590044776,0.7001151919774342,132,-0.008599503092732462,0.022277532553243797,0.37020054382948386,0.6295257136276176
MnCa_mean,S_mean,4,0.0019761817853279906,0.6113947209610018,133,-0.007440107883666909,0.014608330712901267,0.2866211043503847,0.4174164897502667
MnCa_mean,Chl_mean,1,0.033758355224252856,0.030993357953420973,138,-0.013392854662127411,0.006144066931962144,0.20531972145350802,0.0612046376616338
MnCa_mean,Chl_mean,2,0.03392622524752498,0.03313452267356782,134,-0.008663779461494867,0.004023998395730692,0.1522544751231626,0.04227537743104491
MnCa_mean,Chl_mean,3,0.028645528974974965,0.05237255246592465,132,-0.012337915991642051,0.006301306161806913,0.23383494283631165,0.0714422757840737
MnCa_mean,Chl_mean,4,0.024536841313675728,0.0717709511536838,133,-0.007642475002421728,0.004210120127365555,0.14082477383398245,0.046850228958698094
MnCa_mean,growth_mean,1,0.024492507729637403,0.06679395502573808,138,-0.001089365839591324,0.000589526016889368,0.16387980707243607,0.05100639941409299
MnCa_mean,growth_mean,2,0.020622728366034848,0.09784759294023965,134,-0.0006474921777121824,0.0003883734297518377,0.12059888208657485,0.03557390211498266
MnCa_mean,growth_mean,3,0.025022541145118038,0.07005627278522897,132,-0.0019110118407212964,0.0010462206393544106,0.22935459046568318,0.0725951647842403
MnCa_mean,growth_mean,4,0.015975351224110867,0.1471410839314229,133,-0.00072486003451255,0.0004970456629228503,0.11763737279334406,0.04174313561952324
SrCa_mean,T_mean,1,0.3408464364167787,5.666210520822574e-14,138,0.05128138633957201,0.006115109336082311,1.3676890192328726,0.07918033638949809
SrCa_mean,T_mean,2,0.31715580273217747,1.4083145772436732e-12,134,0.04610363620797316,0.005888066344216587,1.4235257924164975,0.07829801859879161
SrCa_mean,T_mean,3,0.2087036577434792,3.6704325533541544e-08,132,0.03802376034719723,0.0064936359413909,1.5644321527335825,0.07753460848180825
SrCa_mean,T_mean,4,0.2634206147175435,2.6688925225176767e-10,133,0.040056174686319876,0.005852194142621018,1.5652726492385525,0.07407296496492952
SrCa_mean,S_mean,1,0.19618674511930723,5.327498489291136e-08,138,0.08552109737042335,0.014843850150014293,-0.45193636902860473,0.4243969329567905
SrCa_mean,S_mean,2,0.1995079743316942,6.313221275238913e-08,134,0.09066733740145462,0.01580746656649164,-0.6105690153044712,0.45505721175513364
SrCa_mean,S_mean,3,0.10818112038635075,0.00011781142067116364,132,0.06163625906046613,0.015521267695286542,0.24365060651767845,0.4386049980592577
SrCa_mean,S_mean,4,0.16145606162108106,1.6361188497969383e-06,133,0.07265666099006342,0.01446690142847172,-0.03498151193880522,0.4133753082754842
SrCa_mean,Chl_mean,1,0.005278765881007508,0.39707266130640484,138,0.005125723199142554,0.0060335121178276266,1.9450159205701707,0.06010333661531017
SrCa_mean,Chl_mean,2,0.005196616458173042,0.4078213937359415,134,0.0044334126704572,0.005338994668557049,1.9568597991947057,0.05609048327530482
SrCa_mean,Chl_mean,3,0.04675963141662798,0.012763044026554683,132,0.011623099076935373,0.004602734636294979,1.8806482685567962,0.05218439301365439
SrCa_mean,Chl_mean,4,0.0031607034307190585,0.5203858710065257,133,0.0029634598318127574,0.004598160202411744,2.0101430520573382,0.05116834003654997
SrCa_mean,growth_mean,1,0.15820230621905973,1.3598737021917623e-06,138,0.0026795999637516067,0.000530026971059058,1.8228094671569266,0.04585848056160282
SrCa_mean,growth_mean,2,0.11559996722725885,5.8365307189598595e-05,134,0.0020043729296384777,0.00048254418073816934,1.870638169800715,0.04419967520101163
