NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.												
Intervals of 60 minutes 													
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC													
ET = excel decimal time 													
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
T_std = standard deviation of temperature within the interval 													
T_N = number of data points for temperature within the interval 													
T_max = maximum temperature within the interval 													
T_min = minimum temperature within the interval 													
T_flag = quality flag 													
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
S_std = standard deviation of salinity within the interval 													
S_N = number of data points for salinity within the interval 													
S_max = maximum salinity within the interval 													
S_min = minimum salinity within the interval 													
S_flag = quality flag 													
Quality flags:  -1=No flag available, 0=uncalibrated data, 1=OK, 1-2 : includes corrected data, 4-5 : includes missing data, fraction indicates how much missing or corrected data was incorporated (low end: none, high end: all), 9=missing 
Temperature in [degrees Celsius], Salinity in [PSU]												
													
TM 	ET 	T 	T_std 	T_N 	T_max 	T_min 	T_flag 	S 	S_std 	S_N 	S_max 	S_min 	S_flag 
202201062200	44567.91667	6.261	0.038	6	6.324	6.209	1	27.863	0.126	6	28.053	27.703	1
202201062300	44567.95833	6.297	0.018	6	6.327	6.276	1	28.053	0.032	6	28.073	27.993	1
202201070000	44568	6.304	0.049	6	6.415	6.281	1	28.242	0.166	6	28.572	28.102	1
202201070100	44568.04167	6.516	0.028	6	6.552	6.468	1	28.817	0.089	6	28.912	28.652	1
202201070200	44568.08333	6.358	0.184	6	6.446	5.963	1	28.562	0.209	6	28.692	28.102	1
202201070300	44568.125	5.841	0.152	6	6.067	5.664	1	27.947	0.076	6	28.032	27.852	1
202201070400	44568.16667	5.84	0.093	6	5.916	5.682	1	27.917	0.023	6	27.942	27.882	1
202201070500	44568.20833	6.122	0.116	6	6.211	5.912	1	27.896	0.059	6	27.941	27.811	1
202201070600	44568.25	6.244	0.026	6	6.291	6.226	1	27.701	0.039	6	27.741	27.661	1
202201070700	44568.29167	6.264	0.007	6	6.268	6.25	1	27.756	0.014	6	27.771	27.741	1
202201070800	44568.33333	6.226	0.019	6	6.249	6.194	1	27.856	0.063	6	27.931	27.781	1
202201070900	44568.375	6.383	0.12	6	6.529	6.234	1	28.136	0.279	6	28.611	27.931	1
202201071000	44568.41667	6.661	0.065	6	6.728	6.58	1	29.035	0.253	6	29.36	28.72	1
202201071100	44568.45833	6.784	0.028	6	6.815	6.746	1	29.71	0.107	6	29.82	29.55	1
202201071200	44568.5	6.821	0.057	6	6.876	6.714	1	30	0.239	6	30.19	29.53	1
202201071300	44568.54167	6.877	0.006	6	6.888	6.872	1	30.2	0.026	6	30.25	30.18	1
202201071400	44568.58333	6.836	0.047	6	6.865	6.737	1	30.08	0.118	6	30.18	29.84	1
202201071500	44568.625	6.36	0.138	6	6.588	6.264	1	28.869	0.312	6	29.379	28.649	1
202201071600	44568.66667	6.215	0.064	6	6.329	6.131	1	28.599	0.08	6	28.699	28.489	1
202201071700	44568.70833	6.389	0.063	6	6.411	6.244	1	28.539	0.049	6	28.559	28.429	1
202201071800	44568.75	6.396	0.021	6	6.417	6.36	1	28.354	0.114	6	28.469	28.209	1
202201071900	44568.79167	6.473	0.06	6	6.558	6.415	1	28.769	0.337	6	29.329	28.439	1
202201072000	44568.83333	6.556	0.033	6	6.617	6.536	1	29.238	0.213	6	29.698	29.168	1
202201072100	44568.875	6.729	0.046	6	6.786	6.668	1	30.063	0.165	6	30.278	29.828	1
202201072200	44568.91667	6.855	0.042	6	6.9	6.799	1	30.458	0.11	6	30.568	30.308	1
202201072300	44568.95833	6.896	0.018	6	6.906	6.859	1	30.558	0.011	6	30.568	30.538	1
202201080000	44569	6.867	0.008	6	6.872	6.854	1	30.533	0.01	6	30.548	30.518	1
202201080100	44569.04167	6.846	0.025	6	6.868	6.801	1	30.532	0.017	6	30.547	30.497	1
202201080200	44569.08333	6.771	0.039	6	6.803	6.69	1	30.482	0.077	6	30.517	30.307	1
202201080300	44569.125	6.408	0.112	6	6.621	6.291	1	29.797	0.223	6	30.167	29.507	1
202201080400	44569.16667	6.091	0.091	6	6.144	5.928	1	29.217	0.132	6	29.337	28.987	1
202201080500	44569.20833	5.835	0.031	6	5.888	5.797	1	28.861	0.051	6	28.966	28.816	1
202201080600	44569.25	5.88	0.219	6	6.123	5.68	1	28.711	0.115	6	28.756	28.446	1
202201080700	44569.29167	6.022	0.035	6	6.086	5.989	1	27.961	0.118	6	28.186	27.876	1
202201080800	44569.33333	6.095	0.013	6	6.123	6.086	1	28.161	0.038	6	28.236	28.136	1
202201080900	44569.375	6.189	0.058	6	6.292	6.11	1	28.536	0.166	6	28.766	28.256	1
202201081000	44569.41667	6.226	0.035	6	6.264	6.176	1	28.64	0.077	6	28.725	28.535	1
202201081100	44569.45833	6.269	0.034	6	6.309	6.225	1	28.8	0.093	6	28.905	28.675	1
202201081200	44569.5	6.284	0.033	6	6.341	6.244	1	28.91	0.104	6	29.055	28.765	1
202201081300	44569.54167	6.307	0.023	6	6.319	6.258	1	28.92	0.045	6	29.005	28.895	1
202201081400	44569.58333	6.282	0.02	6	6.304	6.249	1	28.895	0.006	6	28.905	28.885	1
202201081500	44569.625	6.15	0.095	6	6.244	5.992	1	28.814	0.136	6	28.894	28.544	1
202201081600	44569.66667	5.991	0.047	6	6.057	5.927	1	28.019	0.21	6	28.444	27.864	1
202201081700	44569.70833	5.883	0.051	6	5.926	5.798	1	27.714	0.071	6	27.784	27.614	1
202201081800	44569.75	5.762	0.037	6	5.802	5.695	1	27.544	0.134	6	27.794	27.404	1
202201081900	44569.79167	5.838	0.086	6	5.93	5.731	1	27.704	0.071	6	27.744	27.554	1
202201082000	44569.83333	5.906	0.015	6	5.922	5.88	1	27.723	0.043	6	27.763	27.653	1
202201082100	44569.875	5.958	0.058	6	6.055	5.902	1	27.883	0.073	6	27.983	27.803	1
202201082200	44569.91667	6.173	0.089	6	6.272	6.044	1	28.213	0.281	6	28.703	27.973	1
202201082300	44569.95833	6.473	0.121	6	6.553	6.285	1	29.593	0.479	6	29.883	28.813	1
202201090000	44570	6.566	0.009	6	6.584	6.561	1	29.938	0.022	6	29.973	29.913	1
202201090100	44570.04167	6.679	0.039	6	6.745	6.645	1	30.292	0.113	6	30.482	30.192	1
202201090200	44570.08333	6.7	0.011	6	6.717	6.685	1	30.352	0.036	6	30.422	30.322	1
202201090300	44570.125	6.693	0.024	6	6.715	6.653	1	30.377	0.036	6	30.402	30.312	1
202201090400	44570.16667	6.633	0.083	6	6.659	6.45	1	30.282	0.292	6	30.362	29.642	1
202201090500	44570.20833	6.347	0.067	6	6.409	6.241	1	29.307	0.186	6	29.522	29.042	1
202201090600	44570.25	6.306	0.04	6	6.359	6.245	1	29.196	0.095	6	29.271	29.001	1
202201090700	44570.29167	6.336	0.027	6	6.37	6.3	1	29.136	0.133	6	29.291	28.961	1
202201090800	44570.33333	6.342	0.023	6	6.362	6.306	1	29.196	0.118	6	29.281	29.001	1
202201090900	44570.375	6.465	0.017	6	6.471	6.429	1	29.746	0.121	6	29.911	29.591	1
202201091000	44570.41667	6.465	0.026	6	6.526	6.457	1	29.911	0.056	6	30.041	29.891	1
202201091100	44570.45833	6.61	0.057	6	6.68	6.563	1	30.27	0.163	6	30.44	30.12	1
202201091200	44570.5	6.669	0.009	6	6.684	6.661	1	30.39	0.025	6	30.44	30.38	1
