time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
1720.64924,6.597908879,64881.50244,37607.60585,484249.5791,22.99464374,1.236805855,0.025593741,1.410368803,0.004093868
1720.75847,6.598343508,64881.8663,37607.36814,391492.5943,29.04741348,1.525612484,0.025224238,2.653948757,0.005121825
1720.86763,6.598778137,64882.23016,37607.13043,458793.7149,20.46232676,1.378334624,0.023523263,1.866100723,0.004561517
1720.97677,6.599212767,64882.59402,37606.89271,389061.9859,27.76066927,1.735544358,0.027365308,2.329562884,0.004983911
1721.08585,6.599647396,64882.95788,37606.655,369872.5452,28.23940772,2.126955716,0.034485948,2.624072153,0.005809179
1721.19495,6.600082025,64883.32174,37606.41728,435778.8239,22.54410527,1.519384695,0.02810439,2.158436745,0.005561472
1721.30399,6.600516655,64883.6856,37606.17957,367780.2824,28.37831807,1.967414375,0.030808003,2.65463337,0.00626191
1721.4131,6.600951284,64884.04946,37605.94186,475880.5279,20.13940916,1.356069744,0.022178677,2.078406295,0.005022677
1721.52226,6.601385913,64884.41332,37605.70414,362686.4157,27.25238994,1.923425388,0.036071026,3.523271665,0.006198046
1721.63128,6.601820542,64884.77718,37605.46643,369069.219,30.39274406,1.653681697,0.029091705,1.910792232,0.005463449
1721.74043,6.602255172,64885.14105,37605.22871,432291.7192,28.20414942,1.385693485,0.029704625,1.908072208,0.004484729
1721.84956,6.602689801,64885.50491,37604.991,404394.8817,21.75667552,1.761437763,0.026839686,2.183491868,0.004930885
1721.9587,6.60312443,64885.86877,37604.75329,404593.557,28.26549491,1.599990527,0.029980809,3.234479694,0.005881888
1722.06785,6.60355906,64886.23263,37604.51557,414872.3767,26.06983195,1.475284447,0.02794908,2.711611275,0.00515148
1722.17683,6.603993689,64886.59649,37604.27786,498546.7084,20.96122938,1.134303089,0.026227808,1.970246404,0.004727707
1722.28606,6.604428318,64886.96035,37604.04014,388702.9106,33.95259944,1.975967726,0.027696042,2.074650123,0.005725761
1722.39513,6.604862948,64887.32421,37603.80243,373708.3604,24.78263795,1.568544628,0.030874416,2.467905142,0.00483513
1722.50435,6.605297577,64887.68807,37603.56471,383545.3705,27.49505865,1.363719807,0.035654017,2.896514273,0.005774154
1722.61349,6.605732206,64888.05193,37603.327,565847.8289,18.61185919,1.077908221,0.026146293,1.40768224,0.003950563
1722.72271,6.606166836,64888.41579,37603.08929,399861.6456,23.02721799,1.335824205,0.032043625,2.177052946,0.004656148
1722.83178,6.606601465,64888.77965,37602.85157,515982.2318,17.70864521,1.221770694,0.020797656,1.682542893,0.004888059
1722.94093,6.607036094,64889.14351,37602.61386,395509.6676,24.8331554,1.937208192,0.028944496,1.888667357,0.005877867
1723.05007,6.607470724,64889.50737,37602.37614,349056.5081,35.81358934,1.605082962,0.034079787,2.547742454,0.00637737
1723.15918,6.607905353,64889.87124,37602.13843,420086.8528,21.8444356,1.434853067,0.027813534,2.042339337,0.005900738
1723.26823,6.608339982,64890.2351,37601.90072,376498.0441,28.31739775,1.532251559,0.032379813,3.473593212,0.00558966
1723.37734,6.608774611,64890.59896,37601.663,494013.4723,17.13202978,1.129704323,0.023345345,1.5204383,0.00367833
1723.48648,6.609209241,64890.96282,37601.42529,303797.3915,35.34264664,2.119810117,0.033792368,3.55739535,0.006639917
1723.59563,6.60964387,64891.32668,37601.18757,391492.5943,25.11428495,1.791137131,0.03075837,2.167625401,0.005853818
1723.70483,6.610078499,64891.69054,37600.94986,401953.9084,29.55020457,1.758297169,0.030621105,2.6427057,0.00463187
1723.81398,6.610513129,64892.0544,37600.71215,443101.7438,22.1983872,1.582198785,0.024893323,2.349694204,0.006439501
1723.92312,6.610947758,64892.41826,37600.47443,433686.5611,26.82413281,1.244309979,0.027898019,2.478610428,0.003860513
1724.03226,6.611382387,64892.78212,37600.23672,459839.8463,23.25241813,1.39537239,0.021598579,2.813014013,0.004095856
1724.14127,6.611817017,64893.14598,37599.999,601765.0072,16.69891032,1.05665632,0.019012544,1.862336648,0.002909132
1724.25044,6.612251646,64893.50984,37599.76129,370253.4793,30.71674265,1.768714371,0.028277018,3.024396135,0.005654335
1724.35959,6.612686275,64893.8737,37599.52358,400210.356,24.35367758,1.594353861,0.029123081,2.850764779,0.005698548
1724.46873,6.613120905,64894.23756,37599.28586,359759.9416,30.51604887,1.686233735,0.036282469,2.870652149,0.005451891
1724.57787,6.613555534,64894.60143,37599.04815,518074.4946,18.97393043,1.607282077,0.02042725,1.462758005,0.004676878
1724.68707,6.613990163,64894.96529,37598.81043,450075.9531,22.71349154,1.170073667,0.026353093,1.968289339,0.004282771
