file,specimen,treatment,peakID,peak_interval,depth
B325_int_peakid.csv,B325,intertidal,peakID_1,peak 3,5808.868691
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 2,5945.069662
B325_int_peakid.csv,B325,intertidal,peakID_1,peak 2,6582.5666710000005
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 1,7340.722095
B325_int_peakid.csv,B325,intertidal,peakID_1,peak 1,7387.516725
B325_int_peakid.csv,B325,intertidal,peakID_1,interval 0,8387.752411
B325_int_peakid.csv,B325,intertidal,peakID_2,interval 7,0.444372
B325_int_peakid.csv,B325,intertidal,peakID_2,peak 7,579.7896999999999
B325_int_peakid.csv,B325,intertidal,peakID_2,interval 6,994.603362
B325_int_peakid.csv,B325,intertidal,peakID_2,peak 6,2286.01539
B325_int_peakid.csv,B325,intertidal,peakID_2,peak 5,2488.900595
B325_int_peakid.csv,B325,intertidal,peakID_2,interval 4,2518.196519
B325_int_peakid.csv,B325,intertidal,peakID_2,peak 4,4245.074213999999
B325_int_peakid.csv,B325,intertidal,peakID_2,interval 3,4548.360144
B325_int_peakid.csv,B325,intertidal,peakID_2,peak 3,5808.868691
B325_int_peakid.csv,B325,intertidal,peakID_2,interval 2,5945.069662
B325_int_peakid.csv,B325,intertidal,peakID_2,peak 2,6582.5666710000005
B325_int_peakid.csv,B325,intertidal,peakID_2,interval 1,7340.722095
B325_int_peakid.csv,B325,intertidal,peakID_2,peak 1,7387.516725
B325_int_peakid.csv,B325,intertidal,peakID_2,interval 0,8387.752411
B325_int_peakid.csv,B325,intertidal,peakID_3,interval 7,0.444372
B325_int_peakid.csv,B325,intertidal,peakID_3,peak 7,579.7896999999999
B325_int_peakid.csv,B325,intertidal,peakID_3,interval 6,994.603362
B325_int_peakid.csv,B325,intertidal,peakID_3,peak 6,2286.01539
B325_int_peakid.csv,B325,intertidal,peakID_3,peak 5,2488.900595
B325_int_peakid.csv,B325,intertidal,peakID_3,interval 4,2518.196519
B325_int_peakid.csv,B325,intertidal,peakID_3,peak 4,4245.074213999999
B325_int_peakid.csv,B325,intertidal,peakID_3,interval 3,4548.360144
B325_int_peakid.csv,B325,intertidal,peakID_3,peak 3,5808.868691
B325_int_peakid.csv,B325,intertidal,peakID_3,interval 2,5945.069662
B325_int_peakid.csv,B325,intertidal,peakID_3,peak 2,6582.5666710000005
B325_int_peakid.csv,B325,intertidal,peakID_3,interval 1,7340.722095
B325_int_peakid.csv,B325,intertidal,peakID_3,peak 1,7897.401602000001
B325_int_peakid.csv,B325,intertidal,peakID_3,interval 0,8052.718205
B325_int_peakid.csv,B325,intertidal,peakID_4,interval 7,0.444372
B325_int_peakid.csv,B325,intertidal,peakID_4,peak 7,579.7896999999999
B325_int_peakid.csv,B325,intertidal,peakID_4,interval 6,994.603362
B325_int_peakid.csv,B325,intertidal,peakID_4,peak 6,2286.01539
B325_int_peakid.csv,B325,intertidal,peakID_4,peak 5,2488.900595
B325_int_peakid.csv,B325,intertidal,peakID_4,interval 4,2518.196519
B325_int_peakid.csv,B325,intertidal,peakID_4,peak 4,4245.074213999999
B325_int_peakid.csv,B325,intertidal,peakID_4,interval 3,4548.360144
B325_int_peakid.csv,B325,intertidal,peakID_4,peak 3,5808.868691
B325_int_peakid.csv,B325,intertidal,peakID_4,interval 2,5945.069662
B325_int_peakid.csv,B325,intertidal,peakID_4,peak 2,6582.5666710000005
B325_int_peakid.csv,B325,intertidal,peakID_4,interval 1,7340.722095
B325_int_peakid.csv,B325,intertidal,peakID_4,peak 1,7387.516725
B325_int_peakid.csv,B325,intertidal,peakID_4,interval 0,8387.752411
