Element,GR_slope,GR_slope_se,T_slope,T_slope_se,S_slope,S_slope_se,Chl_slope,Chl_slope_se,Intercept,R_squared,P_value,Std_err,RSE,peakID
NaCa_mean,-0.05540040187301996,0.063301863733591,-0.2904748910041691,0.1391862200746721,0.1023015449302128,0.14705931745945272,-0.22318798863776995,0.07446384156054459,0.005572670658930141,0.12341346302108647,0.3831036180610907,0.063301863733591,-4.323488175690701,2
MgCa_mean,-0.04169768888053987,0.05056608776286746,-0.17608054063993162,0.11118318173534124,0.04661266847450105,0.1174722814528455,-0.1740954019169482,0.05948237422135619,-0.02736847043488394,0.10105452886237465,0.41111086405707087,0.05056608776286746,-1.237577815186434,2
MnCa_mean,-0.051720069483450294,0.05787546553477531,-0.20459219477100093,0.12725482012266123,0.057329567964205685,0.13445301539638124,-0.18788425007063447,0.0680806099795348,-0.018467018220524593,0.09783796873152106,0.3731765074282656,0.05787546553477531,-1.6902053173651186,2
SrCa_mean,0.13642666654595947,0.06437006536795525,0.6078573499455096,0.14153494946422798,-0.035059514416592226,0.14954090321370153,0.2602913826630856,0.0757203985173946,-0.08257907679270218,0.4008610558767286,0.035971890138521714,0.06437006536795525,-4.597455134893659,2
BaCa_mean,-0.015187575442143388,0.044742080932897034,-0.11736246036228598,0.09837753197178613,0.03823530451668167,0.10394227745645201,-0.12681456609181765,0.052631423929282606,-0.044072179657127605,0.059951000778432295,0.7348248441838932,0.044742080932897034,-0.8694725697054204,2
NaCa_mean,-0.20975226308417022,0.14766693482745535,-0.16469037149162025,0.17635497453185592,0.011710595662736963,0.159201057814827,-0.20240101134779398,0.08997079247566157,-0.008743122392446921,0.08310300575639651,0.15792955082992105,0.14766693482745535,4.595705843781721,3
MgCa_mean,-0.23303100629547052,0.1445186801160936,-0.01352733826275375,0.17259509165698794,-0.05457353702357552,0.1558068959403021,-0.18551337444497762,0.08805261782385193,0.008693662151686748,0.06431161060770285,0.10934354866563584,0.1445186801160936,4.082277843606632,3
MnCa_mean,-0.28076865182291394,0.17017179922450107,0.027897620357341835,0.20323197846114688,-0.036489853244272674,0.1834637556366198,-0.20493449932448998,0.10368259929771964,0.05829728067326972,0.05493908107235412,0.10143190844466021,0.17017179922450107,2.151721645513322,3
SrCa_mean,0.24960267040222506,0.11082986124915603,0.44737955540665525,0.13236136702371648,-0.03539690988212957,0.11948667566610584,0.2591903144439667,0.0675266298322339,0.04251900569165279,0.32330543683445556,0.02603152672273665,0.11082986124915603,-2.3850442547352997,3
BaCa_mean,-0.21550562145219193,0.15146662974521782,0.045598129058142395,0.1808928563618933,-0.052703110678990556,0.16329754326695775,-0.14942592604372984,0.09228587786235488,0.02231159368917909,0.03905239261056892,0.15724795015201876,0.15146662974521782,4.00290614857406,3
NaCa_mean,-0.058481967875220156,0.07942939858124203,-0.27191073238770586,0.14174747727664075,0.14081328591839187,0.13356548922680822,-0.17685096749029816,0.0728347195984683,-0.040476848798330634,0.0797906465732301,0.4629099020903885,0.07942939858124203,-1.7581836449023158,4
MgCa_mean,-0.07082867127976669,0.10762991166328742,-0.3659863172307753,0.19207332209842,0.20772848232029148,0.180986411373132,-0.23037166929168654,0.09869386620604162,0.009637664372533855,0.07361527778844579,0.5116710695950762,0.10762991166328742,27.390084096275256,4
MnCa_mean,-0.05620108627127212,0.07706608061764245,-0.23068291446642827,0.13752996631311296,0.12571429067197692,0.129591422626218,-0.15952075708372007,0.07066761769066852,-0.04528099522589611,0.06672742596751058,0.4671759399681009,0.07706608061764245,-1.5511491925761516,4
SrCa_mean,0.07960444393925448,0.07443301285477465,0.5449162957929423,0.1328310674223803,-0.04006388764973093,0.12516375490876622,0.19214423610483292,0.0682531621412401,0.08846220303805007,0.3154759243913491,0.2868671451548064,0.07443301285477465,0.7992044566993451,4
BaCa_mean,-0.06076665230272938,0.11260246928031102,-0.3704476708227396,0.20094720897677662,0.2191549043333581,0.18934807723853486,-0.22707788883434826,0.10325357389856181,0.03202504577445918,0.06519531193245409,0.590371525796324,0.11260246928031102,4.212135106577393,4
